version_group_id,item_id,game_index,item_fling_power,item_fling_effect_id
1,0,0,\N,\N
1,1,1,\N,\N
1,2,2,\N,\N
1,3,3,\N,\N
1,4,4,\N,\N
1,5,8,\N,\N
1,17,20,\N,\N
1,18,11,\N,\N
1,19,12,\N,\N
1,20,13,\N,\N
1,21,14,\N,\N
1,22,15,\N,\N
1,23,16,\N,\N
1,24,17,\N,\N
1,25,18,\N,\N
1,26,19,\N,\N
1,27,52,\N,\N
1,28,53,\N,\N
1,29,54,\N,\N
1,30,60,\N,\N
1,31,61,\N,\N
1,32,62,\N,\N
1,38,80,\N,\N
1,39,81,\N,\N
1,40,82,\N,\N
1,41,83,\N,\N
1,45,35,\N,\N
1,46,36,\N,\N
1,47,37,\N,\N
1,48,38,\N,\N
1,49,39,\N,\N
1,50,40,\N,\N
1,51,79,\N,\N
1,55,55,\N,\N
1,56,58,\N,\N
1,57,65,\N,\N
1,58,66,\N,\N
1,59,67,\N,\N
1,60,46,\N,\N
1,61,68,\N,\N
1,63,51,\N,\N
1,76,56,\N,\N
1,77,57,\N,\N
1,78,29,\N,\N
1,79,30,\N,\N
1,81,10,\N,\N
1,82,32,\N,\N
1,83,33,\N,\N
1,84,34,\N,\N
1,85,47,\N,\N
1,92,49,\N,\N
1,101,42,\N,\N
1,102,41,\N,\N
1,103,31,\N,\N
1,216,75,\N,\N
1,328,201,\N,\N
1,329,202,\N,\N
1,330,203,\N,\N
1,331,204,\N,\N
1,332,205,\N,\N
1,333,206,\N,\N
1,334,207,\N,\N
1,335,208,\N,\N
1,336,209,\N,\N
1,337,210,\N,\N
1,338,211,\N,\N
1,339,212,\N,\N
1,340,213,\N,\N
1,341,214,\N,\N
1,342,215,\N,\N
1,343,216,\N,\N
1,344,217,\N,\N
1,345,218,\N,\N
1,346,219,\N,\N
1,347,220,\N,\N
1,348,221,\N,\N
1,349,222,\N,\N
1,350,223,\N,\N
1,351,224,\N,\N
1,352,225,\N,\N
1,353,226,\N,\N
1,354,227,\N,\N
1,355,228,\N,\N
1,356,229,\N,\N
1,357,230,\N,\N
1,358,231,\N,\N
