version_group_id,language_id,ability_id,name,description
13,1,1,あくしゅう,くさくて　あいてが\nひるむ　ことがある。
13,1,2,あめふらし,せんとうに　でると\nあめを　ふらす。
13,1,3,かそく,ちょっとずつ\nすばやく　なっていく。
13,1,4,カブトアーマー,あいての　こうげきが\nきゅうしょに　あたらない。
13,1,5,がんじょう,いちげきで\nたおされない。
13,1,6,しめりけ,だれも　ばくはつが\nできなくなる。
13,1,7,じゅうなん,まひ　じょうたいに\nならない。
13,1,8,すながくれ,すなあらしで\nかいひりつが　あがる。
13,1,9,せいでんき,さわった　あいてを\nまひさせる　ことがある。
13,1,10,ちくでん,でんきを　うけると\nかいふくする。
13,1,11,ちょすい,みずを　うけると\nかいふくする。
13,1,12,どんかん,メロメロ　じょうたいに\nならない。
13,1,13,ノーてんき,てんきの　えいきょうが\nなくなる。
13,1,14,ふくがん,わざの　めいちゅうりつが\nあがる。
13,1,15,ふみん,ねむり　じょうたいに\nならない。
13,1,16,へんしょく,うけた　わざの　タイプに\nへんかする。
13,1,17,めんえき,どく　じょうたいに\nならない。
13,1,18,もらいび,ほのおを　うけると\nほのおわざが　つよくなる。
13,1,19,りんぷん,わざの　ついかこうかを\nうけない。
13,1,20,マイペース,こんらん　じょうたいに\nならない。
13,1,21,きゅうばん,いれかえさせる　わざや\nどうぐが　きかない。
13,1,22,いかく,あいての　こうげきを\nさげる。
13,1,23,かげふみ,あいての　かげをふみ\nにげられなくする。
13,1,24,さめはだ,ふれた　あいてを\nキズつける。
13,1,25,ふしぎなまもり,こうかばつぐん　しか\nあたらない。
13,1,26,ふゆう,じめんタイプの　わざを\nうけない。
13,1,27,ほうし,ふれると　どく　まひ\nねむりに　することがある。
13,1,28,シンクロ,どく　まひ　やけどを\nあいてに　うつす。
13,1,29,クリアボディ,あいてに　のうりょくを\nさげられない。
13,1,30,しぜんかいふく,じょうたい　いじょうが\nひっこむと　なおる。
13,1,31,ひらいしん,でんきを　よびこんで\nとくこうを　あげる。
13,1,32,てんのめぐみ,わざの　ついかこうかが\nでやすい。
13,1,33,すいすい,あめのとき　すばやさが\nあがる。
13,1,34,ようりょくそ,はれのとき　すばやさが\nあがる。
13,1,35,はっこう,やせいの　ポケモンに\nそうぐう　しやすくなる。
13,1,36,トレース,あいてと　おなじ\nとくせいに　なる。
13,1,37,ちからもち,ぶつり　こうげきの\nいりょくが　あがる。
13,1,38,どくのトゲ,ふれた　あいてに　どくを\nおわせる　ことがある。
13,1,39,せいしんりょく,ひるまない。\n
13,1,40,マグマのよろい,こおり　じょうたいに\nならない。
13,1,41,みずのベール,やけど　じょうたいに\nならない。
13,1,42,じりょく,はがねの　ポケモンを\nにげられなくする。
13,1,43,ぼうおん,おとの　わざを\nうけない。
13,1,44,あめうけざら,あめのとき　すこしずつ\nＨＰを　かいふくする。
13,1,45,すなおこし,せんとうで　すなあらしを\nおこす。
13,1,46,プレッシャー,あいての　つかう　わざの\nＰＰを　おおく　へらす。
13,1,47,あついしぼう,ほのおと　こおりタイプの\nわざに　つよい。
13,1,48,はやおき,おきるのが　はやくなる。\n
13,1,49,ほのおのからだ,ふれた　あいてを　やけど\nさせることがある。
13,1,50,にげあし,やせいの　ポケモンから\nかならず　にげられる。
13,1,51,するどいめ,めいちゅうりつを\nさげられない。
13,1,52,かいりきバサミ,あいてに　こうげきを\nさげられない。
13,1,53,ものひろい,どうぐを　ひろってくる\nことが　ある。
13,1,54,なまけ,こうげきが　れんぞくで\nだせない。
13,1,55,はりきり,こうげきは　たかいが\nはずれやすい。
13,1,56,メロメロボディ,ふれると　メロメロに\nすることがある。
13,1,57,プラス,プラスかマイナスがいると\nとくこうが　あがる。
13,1,58,マイナス,プラスかマイナスがいると\nとくこうが　あがる。
13,1,59,てんきや,てんきで　ポワルンが\nへんかする。
13,1,60,ねんちゃく,ねんちゃくして\nどうぐを　まもる。
13,1,61,だっぴ,じょうたい　いじょうを\nなおす　ことがある。
13,1,62,こんじょう,じょうたい　いじょうで\nこうげきが　あがる。
13,1,63,ふしぎなうろこ,じょうたい　いじょうで\nぼうぎょが　あがる。
13,1,64,ヘドロえき,すいとった　あいての\nＨＰを　へらす。
13,1,65,しんりょく,ピンチのとき　くさの\nいりょくが　あがる。
13,1,66,もうか,ピンチのとき　ほのおの\nいりょくが　あがる。
13,1,67,げきりゅう,ピンチのとき　みずの\nいりょくが　あがる。
13,1,68,むしのしらせ,ピンチのとき　むしの\nいりょくが　あがる。
13,1,69,いしあたま,ぶつかっても\nはんどうを　うけない。
13,1,70,ひでり,せんとうに　でると\nひざしが　つよくなる。
13,1,71,ありじごく,せんとうで　あいてを\nにげられなくする。
13,1,72,やるき,ねむり　じょうたいに\nならない。
13,1,73,しろいけむり,あいてに　のうりょくを\nさげられない。
13,1,74,ヨガパワー,ぶつり　こうげきの\nいりょくが　あがる。
13,1,75,シェルアーマー,あいての　こうげきが\nきゅうしょに　あたらない。
13,1,76,エアロック,てんきの　えいきょうが\nなくなる。
13,1,77,ちどりあし,こんらん　していると\nかいひ　しやすくなる。
13,1,78,でんきエンジン,でんきを　うけると\nすばやさが　あがる。
13,1,79,とうそうしん,あいてと　せいべつが\nおなじだと　つよくなる。
13,1,80,ふくつのこころ,ひるむ　たびに\nすばやさが　あがる。
13,1,81,ゆきがくれ,てんきが　あられのとき　\nかいひりつが　あがる。
13,1,82,くいしんぼう,きのみを　いつもより\nはやく　つかう。
13,1,83,いかりのつぼ,きゅうしょに　うけると\nこうげきが　あがる。
13,1,84,かるわざ,どうぐが　なくなると\nすばやさが　あがる。
13,1,85,たいねつ,ほのお　わざの\nいりょくを　よわめる。
13,1,86,たんじゅん,のうりょく　へんかが\nいつもより　はげしい。
13,1,87,かんそうはだ,あついと　ＨＰが　へる。\nみずで　ＨＰを　かいふく。
13,1,88,ダウンロード,あいての　のうりょくを\nみて　つよさを　かえる。
13,1,89,てつのこぶし,パンチを　つかう　わざの\nいりょくが　あがる。
13,1,90,ポイズンヒール,どくじょうたいに　なると\nＨＰを　かいふくする。
13,1,91,てきおうりょく,タイプが　おなじ　わざの\nいりょくが　あがる。
13,1,92,スキルリンク,れんぞく　わざを\nたくさん　だせる。
13,1,93,うるおいボディ,じょうたい　いじょうが\nあめの　とき　なおる。
13,1,94,サンパワー,はれると　ＨＰが　へるが\nとくこうが　あがる。
13,1,95,はやあし,じょうたい　いじょうで\nすばやさが　あがる。
13,1,96,ノーマルスキン,だしたわざが　すべて\nノーマルタイプに　なる。
13,1,97,スナイパー,きゅうしょに　あてたとき\nいりょくが　あがる。
13,1,98,マジックガード,こうげき　いがいでは\nダメージを　うけない。
13,1,99,ノーガード,おたがいの　わざが\nかならず　あたる。
13,1,100,あとだし,あいてより　すばやくても\nこうどうが　おそくなる。
13,1,101,テクニシャン,よわい　わざの\nいりょくが　あがる。
