language_id,form_id,version_id,is_female,entry
1,1,26,0,うまれたときから　せなかに\nふしぎな　タネが　うえてあって\nからだと　ともに　そだつという。
1,1,27,0,うまれてから　しばらくの　あいだは\nせなかの　タネから　えいようを\nもらって　おおきく　そだつ。
1,1,28,0,ひなたで　ひるねを　する　すがたを　みかける。\nたいようの　ひかりを　いっぱい　あびることで\nせなかの　タネが　おおきく　そだつのだ。
1,1,29,0,ひなたで　ひるねを　する　すがたを　みかける。\nたいようの　ひかりを　いっぱい　あびることで\nせなかの　タネが　おおきく　そだつのだ。
1,2,26,0,つぼみが　せなかに　ついていて\nようぶんを　きゅうしゅうしていくと\nおおきな　はなが　さくという。
1,2,27,0,せなかの　つぼみが　ふくらみだすと\nあまい　においが　ただよいはじめる。\nたいりんの　はなが　さく　まえぶれ。
1,2,28,0,つぼみを　ささえるため　あしこしが　つよくなる。\nひなたで　じっとする　じかんが　ながくなれば\nいよいよ　たいりんの　はなが　さくころだ。
1,2,29,0,つぼみを　ささえるため　あしこしが　つよくなる。\nひなたで　じっとする　じかんが　ながくなれば\nいよいよ　たいりんの　はなが　さくころだ。
1,3,26,0,おおきな　はなびらを　ひろげ\nたいようの　ひかりを　あびていると\nからだに　げんきが　みなぎっていく。
1,3,27,0,あめの　ふった　よくじつは　せなかの\nはなの　かおりが　つよまる。かおりに\nさそわれ　ポケモンが　あつまる。
1,3,28,0,じゅうぶんな　えいようと　たいようの　ひかりが\nはなの　いろを　あざやかに　すると　いわれる。\nはなの　かおりは　ひとの　こころを　いやす。
1,3,29,0,じゅうぶんな　えいようと　たいようの　ひかりが\nはなの　いろを　あざやかに　すると　いわれる。\nはなの　かおりは　ひとの　こころを　いやす。
1,4,26,0,しっぽの　ほのおは　ヒトカゲの\nせいめいりょくの　あかし。\nげんきだと　さかんに　もえさかる。
1,4,27,0,うまれたときから　しっぽに　ほのおが\nともっている。ほのおが　きえたとき\nその　いのちは　おわって　しまう。
1,4,28,0,しっぽの　ほのおは　きぶんを　ひょうげん。\nたのしい　ときには　ゆらゆら　ほのおが　ゆれて\nおこった　ときには　めらめら　さかんに　もえる。
1,4,29,0,しっぽの　ほのおは　きぶんを　ひょうげん。\nたのしい　ときには　ゆらゆら　ほのおが　ゆれて\nおこった　ときには　めらめら　さかんに　もえる。
1,5,26,0,しっぽを　ふりまわして　あいてを\nなぎたおし　するどい　ツメで\nズタズタに　ひきさいてしまう。
1,5,27,0,もえる　しっぽを　ふりまわすと\nまわりの　おんどが　どんどん\nあがって　あいてを　くるしめる。
1,5,28,0,するどい　ツメで　ようしゃなく　たたきのめす。\nきょうてきと　むかいあうと　きぶんが　たかぶり\nしっぽの　ほのおが　あおじろく　もえあがる。
1,5,29,0,するどい　ツメで　ようしゃなく　たたきのめす。\nきょうてきと　むかいあうと　きぶんが　たかぶり\nしっぽの　ほのおが　あおじろく　もえあがる。
