version_group_id,pokemon_id,move_id,move_method_id,level,mastery_level,sort
7,1000,15,2,0,0,0
7,1000,22,1,10,0,0
7,1000,33,1,1,0,0
7,1000,45,1,4,0,0
7,1000,70,2,0,0,0
7,1000,73,1,7,0,0
7,1000,74,1,32,0,0
7,1000,75,1,20,0,0
7,1000,76,1,46,0,0
7,1000,76,2,0,0,0
7,1000,77,1,15,0,1
7,1000,79,1,15,0,2
7,1000,80,3,0,0,0
7,1000,92,2,0,0,0
7,1000,104,2,0,0,0
7,1000,113,3,0,0,0
7,1000,130,3,0,0,0
7,1000,148,2,0,0,0
7,1000,156,2,0,0,0
7,1000,174,3,0,0,0
7,1000,182,2,0,0,0
7,1000,188,2,0,0,0
7,1000,202,2,0,0,0
7,1000,204,3,0,0,0
7,1000,213,2,0,0,0
7,1000,216,2,0,0,0
7,1000,218,2,0,0,0
7,1000,219,3,0,0,0
7,1000,230,1,25,0,0
7,1000,235,1,39,0,0
7,1000,237,2,0,0,0
7,1000,241,2,0,0,0
7,1000,249,2,0,0,0
7,1000,263,2,0,0,0
7,1000,290,2,0,0,0
7,1000,320,3,0,0,0
7,1000,331,2,0,0,0
7,1000,345,3,0,0,0
7,2000,15,2,0,0,0
7,2000,22,1,10,0,0
7,2000,33,1,1,0,1
7,2000,45,1,1,0,2
7,2000,45,1,4,0,0
7,2000,70,2,0,0,0
7,2000,73,1,1,0,3
7,2000,73,1,7,0,0
7,2000,74,1,38,0,0
7,2000,75,1,22,0,0
7,2000,76,1,56,0,0
7,2000,76,2,0,0,0
7,2000,77,1,15,0,0
7,2000,79,1,15,0,4
7,2000,92,2,0,0,0
7,2000,104,2,0,0,0
7,2000,148,2,0,0,0
7,2000,156,2,0,0,0
7,2000,182,2,0,0,0
7,2000,188,2,0,0,0
7,2000,202,2,0,0,0
7,2000,213,2,0,0,0
7,2000,216,2,0,0,0
7,2000,218,2,0,0,0
7,2000,230,1,29,0,0
7,2000,235,1,47,0,0
7,2000,237,2,0,0,0
7,2000,241,2,0,0,0
7,2000,249,2,0,0,0
7,2000,263,2,0,0,0
7,2000,290,2,0,0,0
7,2000,331,2,0,0,0
7,3000,15,2,0,0,0
7,3000,22,1,1,0,4
7,3000,22,1,10,0,0
7,3000,33,1,1,0,1
7,3000,45,1,1,0,2
7,3000,45,1,4,0,0
7,3000,46,2,0,0,0
7,3000,63,2,0,0,0
7,3000,70,2,0,0,0
7,3000,73,1,1,0,3
7,3000,73,1,7,0,0
7,3000,74,1,41,0,0
7,3000,75,1,22,0,0
7,3000,76,1,65,0,0
7,3000,76,2,0,0,0
7,3000,77,1,15,0,0
7,3000,79,1,15,0,5
7,3000,89,2,0,0,0
7,3000,92,2,0,0,0
7,3000,104,2,0,0,0
7,3000,148,2,0,0,0
7,3000,156,2,0,0,0
7,3000,182,2,0,0,0
7,3000,188,2,0,0,0
7,3000,202,2,0,0,0
7,3000,213,2,0,0,0
7,3000,216,2,0,0,0
7,3000,218,2,0,0,0
7,3000,230,1,29,0,0
7,3000,235,1,53,0,0
7,3000,237,2,0,0,0
7,3000,241,2,0,0,0
7,3000,249,2,0,0,0
7,3000,263,2,0,0,0
7,3000,290,2,0,0,0
7,3000,331,2,0,0,0
7,4000,10,1,1,0,1
7,4000,14,3,0,0,0
7,4000,15,2,0,0,0
7,4000,44,3,0,0,0
7,4000,45,1,1,0,2
7,4000,52,1,7,0,0
7,4000,53,1,31,0,0
7,4000,53,2,0,0,0
7,4000,70,2,0,0,0
7,4000,82,1,43,0,0
7,4000,83,1,49,0,0
7,4000,91,2,0,0,0
7,4000,92,2,0,0,0
7,4000,99,1,19,0,0
7,4000,104,2,0,0,0
7,4000,108,1,13,0,0
7,4000,126,2,0,0,0
7,4000,156,2,0,0,0
7,4000,157,3,0,0,0
7,4000,163,1,37,0,0
7,4000,182,2,0,0,0
7,4000,184,1,25,0,0
7,4000,187,3,0,0,0
7,4000,200,3,0,0,0
7,4000,213,2,0,0,0
7,4000,216,2,0,0,0
7,4000,218,2,0,0,0
7,4000,231,2,0,0,0
7,4000,237,2,0,0,0
7,4000,241,2,0,0,0
7,4000,246,3,0,0,0
7,4000,249,2,0,0,0
7,4000,251,3,0,0,0
7,4000,263,2,0,0,0
7,4000,264,2,0,0,0
7,4000,280,2,0,0,0
7,4000,290,2,0,0,0
7,4000,315,2,0,0,0
7,4000,332,2,0,0,0
7,4000,337,2,0,0,0
7,4000,349,3,0,0,0
7,5000,10,1,1,0,1
7,5000,15,2,0,0,0
7,5000,45,1,1,0,2
7,5000,52,1,1,0,3
7,5000,52,1,7,0,0
7,5000,53,1,34,0,0
7,5000,53,2,0,0,0
7,5000,70,2,0,0,0
7,5000,82,1,48,0,0
7,5000,83,1,55,0,0
7,5000,91,2,0,0,0
7,5000,92,2,0,0,0
7,5000,99,1,20,0,0
7,5000,104,2,0,0,0
7,5000,108,1,13,0,0
7,5000,126,2,0,0,0
7,5000,156,2,0,0,0
7,5000,163,1,41,0,0
7,5000,182,2,0,0,0
7,5000,184,1,27,0,0
7,5000,213,2,0,0,0
7,5000,216,2,0,0,0
7,5000,218,2,0,0,0
7,5000,231,2,0,0,0
7,5000,237,2,0,0,0
7,5000,241,2,0,0,0
7,5000,249,2,0,0,0
7,5000,263,2,0,0,0
7,5000,264,2,0,0,0
7,5000,280,2,0,0,0
7,5000,290,2,0,0,0
7,5000,315,2,0,0,0
7,5000,332,2,0,0,0
7,5000,337,2,0,0,0
7,6000,10,1,1,0,1
7,6000,15,2,0,0,0
7,6000,17,1,36,0,0
7,6000,19,2,0,0,0
7,6000,45,1,1,0,2
7,6000,46,2,0,0,0
7,6000,52,1,1,0,3
7,6000,52,1,7,0,0
7,6000,53,1,34,0,0
7,6000,53,2,0,0,0
7,6000,63,2,0,0,0
7,6000,70,2,0,0,0
7,6000,82,1,54,0,0
7,6000,83,1,64,0,0
7,6000,89,2,0,0,0
7,6000,91,2,0,0,0
7,6000,92,2,0,0,0
7,6000,99,1,20,0,0
7,6000,104,2,0,0,0
7,6000,108,1,1,0,4
7,6000,108,1,13,0,0
7,6000,126,2,0,0,0
7,6000,156,2,0,0,0
7,6000,163,1,44,0,0
7,6000,182,2,0,0,0
7,6000,184,1,27,0,0
7,6000,211,2,0,0,0
7,6000,213,2,0,0,0
7,6000,216,2,0,0,0
7,6000,218,2,0,0,0
7,6000,231,2,0,0,0
7,6000,237,2,0,0,0
7,6000,241,2,0,0,0
7,6000,249,2,0,0,0
7,6000,263,2,0,0,0
7,6000,264,2,0,0,0
7,6000,280,2,0,0,0
7,6000,290,2,0,0,0
7,6000,315,2,0,0,0
7,6000,332,2,0,0,0
7,6000,337,2,0,0,0
7,7000,33,1,1,0,0
7,7000,39,1,4,0,0
7,7000,44,1,18,0,0
7,7000,54,3,0,0,0
7,7000,55,1,13,0,0
7,7000,56,1,47,0,0
7,7000,57,2,0,0,0
7,7000,58,2,0,0,0
7,7000,59,2,0,0,0
7,7000,70,2,0,0,0
7,7000,91,2,0,0,0
7,7000,92,2,0,0,0
7,7000,104,2,0,0,0
7,7000,110,1,10,0,0
7,7000,114,3,0,0,0
7,7000,127,2,0,0,0
7,7000,130,1,40,0,0
7,7000,145,1,7,0,0
7,7000,156,2,0,0,0
7,7000,175,3,0,0,0
7,7000,182,1,28,0,0
7,7000,182,2,0,0,0
7,7000,193,3,0,0,0
7,7000,213,2,0,0,0
7,7000,216,2,0,0,0
7,7000,218,2,0,0,0
7,7000,229,1,23,0,0
7,7000,231,2,0,0,0
7,7000,237,2,0,0,0
7,7000,240,1,33,0,0
7,7000,240,2,0,0,0
7,7000,243,3,0,0,0
