version_group_id,move_id,can_use_move,type_id,quality_id,category_id,power,accuracy,pp,priority,min_hits,max_hits,infliction_id,infliction_percent,min_turns,max_turns,crit_stage,flinch_percent,effect,effect_percent,recoil_percent,heal_percent,target_id,affinity_id,z_move_id,z_base_power,z_power_effect,max_move_id,max_power
20,1,1,0,1,1,40,100,35,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,90
20,2,0,1,1,1,50,100,25,0,0,0,\N,0,0,0,1,0,43,\N,0,0,1,\N,\N,\N,\N,761,75
20,3,0,0,1,1,15,85,10,0,2,5,\N,0,0,0,0,0,29,\N,0,0,1,\N,\N,\N,\N,760,90
20,4,0,0,1,1,18,85,15,0,2,5,\N,0,0,0,0,0,29,\N,0,0,1,\N,\N,\N,\N,760,100
20,5,1,0,1,1,80,85,20,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,130
20,6,1,0,1,1,40,100,20,0,0,0,\N,0,0,0,0,0,34,\N,0,0,1,\N,\N,\N,\N,760,90
20,7,1,9,5,1,75,100,15,0,0,0,4,10,0,0,0,0,4,\N,0,0,1,\N,\N,\N,\N,757,130
20,8,1,14,5,1,75,100,15,0,0,0,3,10,0,0,0,0,5,\N,0,0,1,\N,\N,\N,\N,763,130
20,9,1,12,5,1,75,100,15,0,0,0,1,10,0,0,0,0,6,\N,0,0,1,\N,\N,\N,\N,759,130
20,10,1,0,1,1,40,100,35,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,90
20,11,1,0,1,1,55,100,30,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,110
20,12,1,0,10,1,1,30,5,0,0,0,\N,0,0,0,0,0,38,\N,0,0,1,\N,\N,\N,\N,760,130
20,13,0,0,1,2,80,100,10,0,0,0,\N,0,0,0,1,0,39,\N,0,0,6,\N,\N,\N,\N,760,130
20,14,1,0,3,3,0,101,20,0,0,0,\N,0,0,0,0,0,50,\N,0,0,8,\N,\N,\N,\N,743,0
20,15,1,0,1,1,50,95,30,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,100
20,16,1,2,1,2,40,100,35,0,0,0,\N,0,0,0,0,0,149,\N,0,0,1,\N,\N,\N,\N,766,90
20,17,1,2,1,1,60,100,35,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,766,110
20,18,1,0,13,3,0,101,20,-6,0,0,\N,0,0,0,0,0,28,\N,0,0,1,\N,\N,\N,\N,743,0
20,19,1,2,1,1,90,95,15,0,0,0,\N,0,0,0,0,0,155,\N,0,0,1,\N,\N,\N,\N,766,130
20,20,1,0,5,1,15,85,20,0,0,0,8,100,5,6,0,0,42,\N,0,0,1,\N,\N,\N,\N,760,90
20,21,1,0,1,1,80,75,20,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,130
20,22,1,11,1,1,45,100,25,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,773,100
20,23,1,0,1,1,65,100,20,0,0,0,\N,0,0,0,0,30,150,\N,0,0,1,\N,\N,\N,\N,760,120
20,24,1,1,1,1,30,100,30,0,2,2,\N,0,0,0,0,0,44,\N,0,0,1,\N,\N,\N,\N,761,80
20,25,1,0,1,1,120,75,5,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,140
20,26,0,1,1,1,100,95,10,0,0,0,\N,0,0,0,0,0,45,\N,0,0,1,\N,\N,\N,\N,761,90
20,27,0,1,1,1,60,85,15,0,0,0,\N,0,0,0,0,30,31,\N,0,0,1,\N,\N,\N,\N,761,80
20,28,1,4,3,3,0,100,15,0,0,0,\N,0,0,0,0,0,23,\N,0,0,1,\N,\N,\N,\N,743,0
20,29,1,0,1,1,70,100,15,0,0,0,\N,0,0,0,0,30,31,\N,0,0,1,\N,\N,\N,\N,760,120
20,30,1,0,1,1,65,100,25,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,120
20,31,1,0,1,1,15,85,20,0,2,5,\N,0,0,0,0,0,29,\N,0,0,1,\N,\N,\N,\N,760,90
20,32,1,0,10,1,1,30,5,0,0,0,\N,0,0,0,0,0,38,\N,0,0,1,\N,\N,\N,\N,760,130
20,33,1,0,1,1,40,100,35,0,0,0,\N,0,0,0,0,0,0,\N,0,0,1,\N,\N,\N,\N,760,90
20,34,1,0,5,1,85,100,15,0,0,0,1,30,0,0,0,0,6,\N,0,0,1,\N,\N,\N,\N,760,130
20,35,1,0,5,1,15,90,20,0,0,0,8,100,5,6,0,0,42,\N,0,0,1,\N,\N,\N,\N,760,90
20,36,1,0,1,1,90,85,20,0,0,0,\N,0,0,0,0,0,48,\N,-25,0,1,\N,\N,\N,\N,760,130
20,37,1,0,1,1,120,100,10,0,0,0,\N,0,0,0,0,0,27,\N,0,0,10,\N,\N,\N,\N,760,140
20,38,1,0,1,1,120,100,15,0,0,0,\N,0,0,0,0,0,198,\N,-33,0,1,\N,\N,\N,\N,760,140
20,39,1,0,3,3,0,100,30,0,0,0,\N,0,0,0,0,0,19,\N,0,0,6,\N,\N,\N,\N,743,0
20,40,1,3,5,1,15,100,35,0,0,0,5,30,0,0,0,0,2,\N,0,0,1,\N,\N,\N,\N,764,70
20,41,0,6,5,1,25,100,20,0,2,2,5,20,0,0,0,0,77,\N,0,0,1,\N,\N,\N,\N,758,100
20,42,1,6,1,1,25,95,20,0,2,5,\N,0,0,0,0,0,29,\N,0,0,1,\N,\N,\N,\N,758,130
20,43,1,0,3,3,0,100,30,0,0,0,\N,0,0,0,0,0,19,\N,0,0,6,\N,\N,\N,\N,743,0
20,44,1,16,1,1,60,100,25,0,0,0,\N,0,0,0,0,30,31,\N,0,0,1,\N,\N,\N,\N,772,110
20,45,1,0,3,3,0,100,40,0,0,0,\N,0,0,0,0,0,18,\N,0,0,6,\N,\N,\N,\N,743,0
20,46,1,0,13,3,0,101,20,-6,0,0,\N,0,0,0,0,0,28,\N,0,0,1,\N,\N,\N,\N,743,0
20,47,1,0,2,3,0,55,15,0,0,0,2,0,2,4,0,0,1,\N,0,0,1,\N,\N,\N,\N,743,0
20,48,1,0,2,3,0,55,20,0,0,0,6,0,2,5,0,0,49,\N,0,0,1,\N,\N,\N,\N,743,0
20,49,0,0,1,2,1,90,20,0,0,0,\N,0,0,0,0,0,130,\N,0,0,1,\N,\N,\N,\N,760,100
20,50,1,0,14,3,0,100,20,0,0,0,13,0,4,4,0,0,86,\N,0,0,1,\N,\N,\N,\N,743,0
20,51,1,3,7,2,40,100,30,0,0,0,\N,0,0,0,0,0,72,\N,0,0,6,\N,\N,\N,\N,764,70
20,52,1,9,5,2,40,100,25,0,0,0,4,10,0,0,0,0,4,\N,0,0,1,\N,\N,\N,\N,757,90
