version_group_id,pokemon_id,icon,sprite,type1_id,type2_id,ability1_id,ability2_id,ability3_id,base_hp,base_atk,base_def,base_spa,base_spd,base_spe,base_spc,egg_group1_id,egg_group2_id,base_experience,ev_hp,ev_atk,ev_def,ev_spa,ev_spd,ev_spe,catch_rate,base_friendship
27,3000,champions/venusaur.png,home/venusaur-male.png,11,3,65,\N,34,80,82,83,100,100,80,0,\N,\N,0,0,0,0,0,0,0,0,0
27,3001,champions/venusaur-mega.png,home/venusaur-mega.png,11,3,47,\N,\N,80,100,123,122,120,80,0,\N,\N,0,0,0,0,0,0,0,0,0
27,6000,champions/charizard.png,home/charizard.png,9,2,66,\N,94,78,84,78,109,85,100,0,\N,\N,0,0,0,0,0,0,0,0,0
27,6001,champions/charizard-mega-x.png,home/charizard-mega-x.png,9,15,181,\N,\N,78,130,111,130,85,100,0,\N,\N,0,0,0,0,0,0,0,0,0
27,6002,champions/charizard-mega-y.png,home/charizard-mega-y.png,9,2,70,\N,\N,78,104,78,159,115,100,0,\N,\N,0,0,0,0,0,0,0,0,0
27,9000,champions/blastoise.png,home/blastoise.png,10,\N,67,\N,44,79,83,100,85,105,78,0,\N,\N,0,0,0,0,0,0,0,0,0
27,9001,champions/blastoise-mega.png,home/blastoise-mega.png,10,\N,178,\N,\N,79,103,120,135,115,78,0,\N,\N,0,0,0,0,0,0,0,0,0
27,15000,champions/beedrill.png,home/beedrill.png,6,3,68,\N,97,65,90,40,45,80,75,0,\N,\N,0,0,0,0,0,0,0,0,0
27,15001,champions/beedrill-mega.png,home/beedrill-mega.png,6,3,91,\N,\N,65,150,40,15,80,145,0,\N,\N,0,0,0,0,0,0,0,0,0
27,18000,champions/pidgeot.png,home/pidgeot.png,0,2,51,77,145,83,80,75,70,70,101,0,\N,\N,0,0,0,0,0,0,0,0,0
27,18001,champions/pidgeot-mega.png,home/pidgeot-mega.png,0,2,99,\N,\N,83,80,80,135,80,121,0,\N,\N,0,0,0,0,0,0,0,0,0
27,24000,champions/arbok.png,home/arbok.png,3,\N,22,61,127,60,95,69,65,79,80,0,\N,\N,0,0,0,0,0,0,0,0,0
27,25000,champions/pikachu.png,home/pikachu-male.png,12,\N,9,\N,31,35,55,40,50,50,90,0,\N,\N,0,0,0,0,0,0,0,0,0
27,26000,champions/raichu.png,home/raichu-male.png,12,\N,9,\N,31,60,90,55,90,80,110,0,\N,\N,0,0,0,0,0,0,0,0,0
27,26001,champions/raichu-alola.png,home/raichu-alola.png,12,13,207,\N,\N,60,85,50,95,85,110,0,\N,\N,0,0,0,0,0,0,0,0,0
27,26002,champions/raichu-mega-x.png,home/raichu-mega-x.png,12,\N,226,\N,\N,60,135,95,90,95,110,0,\N,\N,0,0,0,0,0,0,0,0,0
27,26003,champions/raichu-mega-y.png,home/raichu-mega-y.png,12,\N,99,\N,\N,60,100,55,160,80,130,0,\N,\N,0,0,0,0,0,0,0,0,0
27,36000,champions/clefable.png,home/clefable.png,17,\N,56,98,109,95,70,73,95,90,60,0,\N,\N,0,0,0,0,0,0,0,0,0
27,36001,champions/clefable-mega.png,home/clefable-mega.png,17,2,156,\N,\N,95,80,93,135,110,70,0,\N,\N,0,0,0,0,0,0,0,0,0
27,38000,champions/ninetales.png,home/ninetales.png,9,\N,18,\N,70,73,76,75,81,100,100,0,\N,\N,0,0,0,0,0,0,0,0,0
27,38001,champions/ninetales-alola.png,home/ninetales-alola.png,14,17,81,\N,117,73,67,75,81,100,109,0,\N,\N,0,0,0,0,0,0,0,0,0
27,45000,champions/vileplume.png,home/vileplume-male.png,11,3,34,\N,27,75,80,85,110,90,50,0,\N,\N,0,0,0,0,0,0,0,0,0
27,59000,champions/arcanine.png,home/arcanine.png,9,\N,22,18,154,90,110,80,100,80,95,0,\N,\N,0,0,0,0,0,0,0,0,0
27,59001,champions/arcanine-hisui.png,home/arcanine-hisui.png,9,5,22,18,69,95,115,80,95,80,90,0,\N,\N,0,0,0,0,0,0,0,0,0
27,65000,champions/alakazam.png,home/alakazam-male.png,13,\N,28,39,98,55,50,45,135,95,120,0,\N,\N,0,0,0,0,0,0,0,0,0
27,65001,champions/alakazam-mega.png,home/alakazam-mega.png,13,\N,36,\N,\N,55,50,65,175,105,150,0,\N,\N,0,0,0,0,0,0,0,0,0
27,68000,champions/machamp.png,home/machamp.png,1,\N,62,99,80,90,130,80,65,85,55,0,\N,\N,0,0,0,0,0,0,0,0,0
27,71000,champions/victreebel.png,home/victreebel.png,11,3,34,\N,82,80,105,65,100,70,70,0,\N,\N,0,0,0,0,0,0,0,0,0
