generation_id,language_id,move_id,description
4,1,1,ながい　しっぽや\nてなどを　つかって\nあいてを　はたいて\nこうげきする。\n
4,1,2,するどい　チョップで\nあいてを　たたいて\nこうげきする。\nきゅうしょに　あたる\nかくりつが　たかい。
4,1,3,おうふく　ビンタで\nあいてを　たたいて\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
4,1,4,どとうの　パンチで\nあいてを　なぐりつけて\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
4,1,5,ちからを　こめた\nパンチで　あいてを\nこうげきする。\n\n
4,1,6,あいての　からだに\nこばんを　なげつけて\nこうげきする。\nせんとうの　あとで\nおかねが　もらえる。
4,1,7,ほのおを　こめた\nパンチで　あいてを\nこうげきする。\nやけど　じょうたいに\nすることが　ある。
4,1,8,れいきを　こめた\nパンチで　あいてを\nこうげきする。\nこおり　じょうたいに\nすることが　ある。
4,1,9,でんげきを　こめた\nパンチで　あいてを\nこうげきする。\nまひ　じょうたいに\nすることが　ある。
4,1,10,かたく　とがった\nするどい　ツメで\nあいてを　ひっかいて\nこうげきする。\n
4,1,11,おおきく　りっぱな\nハサミを　つかって\nあいてを　はさんで\nこうげきする。\n
4,1,12,おおきな　ハサミで\nあいてを　きりさいて\nこうげきする。\nあたれば　いちげきで\nひんしに　する。
4,1,13,かぜの　やいばを\nつくり　２ターンめに\nこうげきする。\nきゅうしょに　あたる\nかくりつが　たかい。
4,1,14,たたかいのまいを\nはげしく　おどって\nきあいを　たかめる。\nじぶんの　こうげきを\nぐーんと　あげる。
4,1,15,カマや　ツメなどで\nあいてを　きりつけて\nこうげきする。\nほそいき　なども\nきることも　できる。
4,1,16,つばさで　おこした\nはげしい　かぜを\nあいてに　ぶつけて\nこうげきする。\n
4,1,17,おおきく　ひろげた\nりっぱな　つばさを\nあいてに　ぶつけて\nこうげきする。\n
4,1,18,あいてを　ふきとばして\nひかえの　ポケモンを\nひきずりだす。\nやせいの　ばあいは\nせんとうが　おわる。
4,1,19,１ターンめで　そらへ\nとび　２ターンめに\nこうげきする。\nしっている　まちに\nとぶことも　できる。
4,1,20,ながい　からだや\nつるなどを　つかい\n２ー５ターンの　あいだ\nあいてを　しめつけて\nこうげきする。
4,1,21,ながい　しっぽや\nつるなどを　つかい\nあいてを　たたきつけて\nこうげきする。\n
4,1,22,ムチのように　しなる\nほそながい　つるで\nあいてを　たたきつけて\nこうげきする。\n
4,1,23,おおきな　あしで\nあいてを　ふみつけて\nこうげきする。\nあいてを　ひるませる\nことが　ある。
4,1,24,２ほんの　あしで\nあいてを　けとばして\nこうげきする。\n２かい　れんぞくで\nダメージを　あたえる。
4,1,25,ものすごい　ちからを\nこめた　キックで\nあいてを　けとばして\nこうげきする。\n
4,1,26,たかい　ジャンプからの\nキックで　あいてを\nこうげきする。\nはずすと　じぶんが\nダメージを　うける。
4,1,27,からだを　すばやく\nかいてん　させながら\nあいてを　けとばして\nこうげきする。\n
4,1,28,あいての　かおに\nすなを　かけて\nめいちゅうりつを\nさげる。\n
4,1,29,あたまから　つっこんで\nこうげき。　あいてを\nたまに　ひるませる。\nきを　ゆらして\nポケモンも　おとせる。
4,1,30,するどく　とがった\nつので　あいてを\nこうげきする。\n\n
4,1,31,つのや　くちばしで\nあいてを　つついて\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
4,1,32,かいてんする　つのを\nあいてに　つきさして\nこうげきする。\nあたれば　いちげきで\nひんしに　する。
4,1,33,あいてに　むかって\nからだ　ぜんたいで\nぶつかっていき\nこうげきする。\n
4,1,34,からだ　ぜんたいで\nあいてに　のしかかり\nこうげきする。\nまひ　じょうたいに\nすることが　ある。
4,1,35,ながい　からだや\nつるなどを　つかって\n２ー５ターンの　あいだ\nあいてに　まきついて\nこうげきする。
4,1,36,すごい　いきおいで\nあいてに　ぶつかって\nこうげきする。\nじぶんも　すこし\nダメージを　うける。
4,1,37,２ー３ターンの　あいだ\nあばれまくって\nこうげきする。\nあばれた　あとは\nこんらん　する。
4,1,38,いのちを　かけて\nあいてに　とっしん\nこうげきする。\nじぶんも　かなり\nダメージを　うける。
4,1,39,しっぽを　さゆうに\nかわいく　ふって\nゆだんを　さそう。\nあいての　ぼうぎょを\nさげる。
4,1,40,どくの　ある　ハリを\nあいてに　つきさして\nこうげきする。\nどく　じょうたいに\nすることが　ある。
4,1,41,２ほんの　ハリを\nあいてに　つきさして\nこうげきする。\n２かい　れんぞくで\nこうげきする。
4,1,42,するどい　ハリを\nあいてに　はっしゃして\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
4,1,43,するどい　めつきで\nおびえさせて　あいての\nぼうぎょを　さげる。\n\n
4,1,44,するどく　とがった\nはで　かみついて\nこうげきする。\nあいてを　ひるませる\nことが　ある。
4,1,45,かわいい　なきごえを\nきかせて　きを　ひき\nゆだんを　させて\nあいての　こうげきを\nさげる。
4,1,46,あいてを　にがして\nひかえの　ポケモンを\nひきずりだす。\nやせいの　ばあいは\nせんとうが　おわる。
4,1,47,ここちよい　きれいな\nうたごえを　きかせて\nあいてを　ねむりの\nじょうたいに　する。\n
4,1,48,とくしゅな　おんぱを\nからだから　はっして\nあいてを　こんらんの\nじょうたいに　する。\n
4,1,49,しょうげきはを\nあいてに　ぶつけて\nこうげきする。\n２０の　ダメージを\nきまって　あたえる。
4,1,50,あいての　うごきを\nとめて　ちょくぜんに\nだしていた　わざを\nしばらくの　あいだ\nつかえなく　する。
4,1,51,つよい　さんを\nあいてに　かけて\nこうげきする。\nあいての　とくぼうを\nさげることが　ある。
4,1,52,ちいさな　ほのおを\nあいてに　はっしゃして\nこうげきする。\nやけど　じょうたいに\nすることが　ある。
4,1,53,はげしい　ほのおを\nあいてに　はっしゃして\nこうげきする。\nやけど　じょうたいに\nすることが　ある。
4,1,54,しろいきりで\nからだを　おおう。\n５ターンの　あいだ\nあいてに　のうりょくを\nさげられなくなる。
4,1,55,みずを　いきおいよく\nあいてに　はっしゃして\nこうげきする。\n\n
4,1,56,たいりょうの　みずを\nはげしい　いきおいで\nあいてに　はっしゃして\nこうげきする。\n
