language_id,form_id,version_id,is_female,entry
1,1,36,0,うまれてから　しばらくの　あいだは\nせなかの　タネから　えいようを\nもらって　おおきく　そだつ。
1,1,37,0,うまれてから　しばらくの　あいだは\nせなかの　タネから　えいようを\nもらって　おおきく　そだつ。
1,2,36,0,せなかの　つぼみが　ふくらみだすと\nあまい　においが　ただよいはじめる。\nたいりんの　はなが　さく　まえぶれ。
1,2,37,0,せなかの　つぼみが　ふくらみだすと\nあまい　においが　ただよいはじめる。\nたいりんの　はなが　さく　まえぶれ。
1,3,36,0,あめの　ふった　よくじつは　せなかの\nはなの　かおりが　つよまる。かおりに\nさそわれ　ポケモンが　あつまる。
1,3,37,0,あめの　ふった　よくじつは　せなかの\nはなの　かおりが　つよまる。かおりに\nさそわれ　ポケモンが　あつまる。
1,4,36,0,ヒトカゲの　しっぽの　ほのおは\nいのちの　ともしび。げんきな　ときは\nほのおも　ちからづよく　もえあがる。
1,4,37,0,ヒトカゲの　しっぽの　ほのおは\nいのちの　ともしび。げんきな　ときは\nほのおも　ちからづよく　もえあがる。
1,5,36,0,リザードが　くらす　いわやまを\nよなかに　みあげると　しっぽの\nほのおが　ほしのように　みえる。
1,5,37,0,リザードが　くらす　いわやまを\nよなかに　みあげると　しっぽの\nほのおが　ほしのように　みえる。
1,6,36,0,くるしい　たたかいを　けいけんした\nリザードンほど　ほのおの　おんどが\nたかくなると　いわれている。
1,6,37,0,くるしい　たたかいを　けいけんした\nリザードンほど　ほのおの　おんどが\nたかくなると　いわれている。
1,7,36,0,こうらに　とじこもり　みを　まもる。\nあいての　すきを　みのがさず\nみずを　ふきだして　はんげきする。
1,7,37,0,こうらに　とじこもり　みを　まもる。\nあいての　すきを　みのがさず\nみずを　ふきだして　はんげきする。
1,8,36,0,いちまんねんの　じゅみょうを　もつと\nいわれている。ふさふさの　しっぽは\nながいきの　シンボルとして　にんき。
1,8,37,0,いちまんねんの　じゅみょうを　もつと\nいわれている。ふさふさの　しっぽは\nながいきの　シンボルとして　にんき。
1,9,36,0,こうらの　ロケットほうから　ふきだす\nすいりゅうは　ぶあつい　てっぱんも\nいっぱつで　つらぬく　はかいりょく。
1,9,37,0,こうらの　ロケットほうから　ふきだす\nすいりゅうは　ぶあつい　てっぱんも\nいっぱつで　つらぬく　はかいりょく。
1,10,36,0,あかい　しょっかくから　においを\nだして　てきを　おいはらう。\nだっぴを　くりかえし　おおきくなる。
1,10,37,0,あかい　しょっかくから　においを\nだして　てきを　おいはらう。\nだっぴを　くりかえし　おおきくなる。
1,11,36,0,こうてつのように　かたい　カラで\nやわらかい　なかみを　まもっている。\nしんかするまで　じっと　たえている。
1,11,37,0,こうてつのように　かたい　カラで\nやわらかい　なかみを　まもっている。\nしんかするまで　じっと　たえている。
1,12,36,0,はなの　ミツが　だいこうぶつ。\nわずかな　かふんで　はなばたけの\nばしょを　さがしだすことが　できる。
1,12,37,0,はなの　ミツが　だいこうぶつ。\nわずかな　かふんで　はなばたけの\nばしょを　さがしだすことが　できる。
1,13,36,0,まいにち　じぶんと　おなじ　おもさの\nはっぱを　たべる。あたまの　ハリで\nおそってきた　てきを　げきたい。
1,13,37,0,まいにち　じぶんと　おなじ　おもさの\nはっぱを　たべる。あたまの　ハリで\nおそってきた　てきを　げきたい。
1,14,36,0,てんてきに　みつからないように\nはっぱの　うらや　えだの　すきまに\nかくれて　しんかの　ときを　まつ。
1,14,37,0,てんてきに　みつからないように\nはっぱの　うらや　えだの　すきまに\nかくれて　しんかの　ときを　まつ。
1,15,36,0,こうそくで　とびまわり　どくバリで\nこうげきしたあと　すぐに　とびさる\nせんぽうが　とくいわざだ。
1,15,37,0,こうそくで　とびまわり　どくバリで\nこうげきしたあと　すぐに　とびさる\nせんぽうが　とくいわざだ。
1,16,36,0,たたかいを　このまない　おとなしい\nせいかくだが　へたに　てを　だすと\nきょうれつに　はんげきされるぞ。
1,16,37,0,たたかいを　このまない　おとなしい\nせいかくだが　へたに　てを　だすと\nきょうれつに　はんげきされるぞ。
1,17,36,0,ひろい　なわばりを　とびまわりながら\nえものを　さがす。はったつした\nあしの　ツメで　えものを　しとめる。
1,17,37,0,ひろい　なわばりを　とびまわりながら\nえものを　さがす。はったつした\nあしの　ツメで　えものを　しとめる。
1,18,36,0,ピジョットが　ちからいっぱい\nはばたくと　たいぼくも　しなるほどの\nきょうふうを　まきおこす。
1,18,37,0,ピジョットが　ちからいっぱい\nはばたくと　たいぼくも　しなるほどの\nきょうふうを　まきおこす。
1,19,36,0,どんな　ばしょにも　すみついて\nいきていける　せいめいりょく。\nけいかいしんが　とても　つよい。
1,19,37,0,どんな　ばしょにも　すみついて\nいきていける　せいめいりょく。\nけいかいしんが　とても　つよい。
1,20,36,0,のびつづける　まえばを　けずるため\nかたい　ものを　かじる　しゅうせい。\nブロックべいも　かじって　こわす。
1,20,37,0,のびつづける　まえばを　けずるため\nかたい　ものを　かじる　しゅうせい。\nブロックべいも　かじって　こわす。
1,21,36,0,ちいさな　つばさを　いそがしく\nはばたかせて　とぶ。くさむらにいる\nえものを　くちばしで　さがしだす。
1,21,37,0,ちいさな　つばさを　いそがしく\nはばたかせて　とぶ。くさむらにいる\nえものを　くちばしで　さがしだす。
1,22,36,0,おおきな　つばさで　１にちじゅう\nとびまわる　たいりょくの　もちぬし。\nするどい　くちばしで　たたかう。
1,22,37,0,おおきな　つばさで　１にちじゅう\nとびまわる　たいりょくの　もちぬし。\nするどい　くちばしで　たたかう。
1,23,36,0,おとを　まったく　たてずに　くさちの\nなかを　すすむ。ゆだんしている\nえものに　はいごから　おそいかかる。
