version_group_id,ability_id
27,1
27,2
27,3
27,4
27,5
27,6
27,7
27,8
27,9
27,10
27,11
27,12
27,13
27,14
27,15
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,26
27,27
27,28
27,29
27,30
27,31
27,33
27,34
27,35
27,36
27,37
27,38
27,39
27,40
27,43
27,44
27,45
27,46
27,47
27,48
27,49
27,50
27,51
27,52
27,53
27,55
27,56
27,57
27,58
27,59
27,60
27,61
27,62
27,63
27,64
27,65
27,66
27,67
27,68
27,69
27,70
27,72
27,73
27,74
27,75
27,77
27,78
27,79
27,80
27,81
27,82
27,83
27,84
27,85
27,87
27,89
27,90
27,91
27,92
27,93
27,94
27,95
27,97
27,98
27,99
27,100
27,101
27,102
27,103
27,104
27,105
27,106
27,107
27,108
27,109
27,111
27,113
27,115
27,116
27,117
27,119
27,120
27,124
27,125
27,126
27,127
27,128
27,130
27,131
27,132
27,133
27,134
27,135
27,136
27,139
27,140
27,141
27,142
27,143
27,144
27,145
27,146
27,148
27,149
27,150
27,151
27,152
27,153
27,154
27,155
27,156
27,157
27,158
27,159
27,165
27,166
27,167
27,168
27,169
27,170
27,171
27,172
27,173
27,174
27,175
27,176
27,177
27,178
27,179
27,180
27,181
27,182
27,183
27,184
27,185
27,187
27,192
27,194
27,196
27,198
27,199
27,201
27,202
27,203
27,204
27,207
27,209
27,212
27,214
27,215
27,218
27,222
27,226
27,227
27,229
27,236
27,240
27,242
27,244
27,245
27,247
27,250
27,251
27,252
27,254
27,258
27,259
27,260
27,261
27,269
27,270
27,272
27,275
27,278
27,280
27,283
27,290
27,291
27,292
27,293
27,295
27,296
27,297
27,299
27,306
27,311
27,312
27,313
27,315
27,316
27,318
27,319
