version_group_id,move_id,flag_id
13,1,3
13,1,4
13,1,7
13,2,3
13,2,4
13,2,7
13,3,3
13,3,4
13,3,7
13,4,3
13,4,4
13,4,7
13,4,10
13,5,3
13,5,4
13,5,7
13,5,10
13,6,4
13,6,7
13,7,3
13,7,4
13,7,7
13,7,10
13,8,3
13,8,4
13,8,7
13,8,10
13,9,3
13,9,4
13,9,7
13,9,10
13,10,3
13,10,4
13,10,7
13,11,3
13,11,4
13,11,7
13,12,3
13,12,4
13,12,7
13,13,4
13,13,7
13,13,8
13,14,6
13,15,3
13,15,4
13,15,7
13,16,4
13,16,7
13,16,14
13,17,3
13,17,4
13,17,7
13,17,14
13,18,4
13,18,5
13,18,7
13,18,16
13,19,3
13,19,4
13,19,7
13,19,8
13,19,12
13,19,14
13,20,3
13,20,4
13,20,7
13,21,3
13,21,4
13,21,7
13,22,3
13,22,4
13,22,7
13,23,3
13,23,4
13,23,7
13,24,3
13,24,4
13,24,7
13,25,3
13,25,4
13,25,7
13,26,3
13,26,4
13,26,7
13,26,12
13,27,3
13,27,4
13,27,7
13,28,4
13,28,5
13,28,7
13,29,3
13,29,4
13,29,7
13,30,3
13,30,4
13,30,7
13,31,3
13,31,4
13,31,7
13,32,3
13,32,4
13,32,7
13,33,3
13,33,4
13,33,7
13,34,3
13,34,4
13,34,7
13,35,3
13,35,4
13,35,7
13,36,3
13,36,4
13,36,7
13,37,3
13,37,4
13,37,7
13,38,3
13,38,4
13,38,7
13,39,4
13,39,5
13,39,7
13,40,4
13,40,7
13,41,4
13,41,7
13,42,4
13,42,7
13,43,4
13,43,5
13,43,7
13,44,3
13,44,4
13,44,7
13,45,4
13,45,5
13,45,7
13,45,11
13,46,4
13,46,5
13,46,7
13,46,11
13,46,16
13,47,4
13,47,5
13,47,7
13,47,11
13,48,4
13,48,5
13,48,7
13,48,11
13,49,4
13,49,7
13,50,4
13,50,5
13,50,7
13,50,16
13,51,4
13,51,7
13,52,4
13,52,7
13,53,4
13,53,7
13,54,6
13,55,4
13,55,7
13,56,4
13,56,7
13,57,4
13,57,7
13,58,4
13,58,7
13,59,4
13,59,7
13,60,4
13,60,7
13,61,4
13,61,7
13,62,4
13,62,7
13,63,4
13,63,7
13,63,9
13,64,3
13,64,4
13,64,7
13,64,14
13,65,3
13,65,4
13,65,7
13,65,14
13,66,3
13,66,4
13,66,7
13,67,3
13,67,4
13,67,7
13,68,3
13,68,4
13,69,3
13,69,4
13,69,7
13,70,3
13,70,4
13,70,7
13,71,4
13,71,7
13,72,4
13,72,7
13,73,4
13,73,5
13,73,7
13,74,6
13,75,4
13,75,7
13,76,4
13,76,7
13,76,8
13,77,4
13,77,5
13,77,7
13,78,4
13,78,5
13,78,7
13,79,4
13,79,5
13,79,7
13,80,3
13,80,4
13,80,7
13,81,4
13,81,5
13,81,7
13,82,4
13,82,7
13,83,4
13,83,7
13,84,4
13,84,7
13,85,4
13,85,7
13,86,4
13,86,5
13,86,7
13,87,4
13,87,7
13,88,4
13,88,7
13,89,4
13,89,7
13,90,4
13,90,7
13,91,3
13,91,4
13,91,7
13,91,8
13,92,4
13,92,5
13,92,7
13,93,4
13,93,7
13,94,4
13,94,7
13,95,4
13,95,5
13,95,7
13,96,6
13,97,6
13,98,3
13,98,4
13,98,7
13,99,3
13,99,4
13,99,7
13,101,4
13,101,7
13,102,4
13,102,16
13,103,4
13,103,5
13,103,7
13,103,11
13,104,6
13,105,6
13,105,15
13,106,6
13,107,6
13,108,4
13,108,5
13,108,7
13,109,4
13,109,5
13,109,7
13,110,6
13,111,6
13,112,6
13,113,6
13,115,6
13,116,6
13,117,3
13,117,4
13,120,4
13,120,7
13,121,4
13,121,7
13,122,3
13,122,4
13,122,7
13,123,4
13,123,7
13,124,4
13,124,7
13,125,4
13,125,7
13,126,4
13,126,7
13,127,3
13,127,4
13,127,7
13,128,3
13,128,4
13,128,7
13,129,4
13,129,7
13,130,3
13,130,4
13,130,7
13,130,8
13,131,4
13,131,7
13,132,3
13,132,4
13,132,7
13,133,6
13,134,4
13,134,5
13,134,7
13,135,6
13,135,15
13,136,3
13,136,4
13,136,7
13,136,12
13,137,4
13,137,5
13,137,7
13,138,4
13,138,7
13,139,4
13,139,5
13,139,7
13,140,4
13,140,7
13,141,3
13,141,4
13,141,7
13,142,4
13,142,5
13,142,7
13,143,4
13,143,7
13,143,8
13,143,14
13,145,4
13,145,7
13,146,3
13,146,4
13,146,7
13,146,10
13,147,4
13,147,5
13,147,7
13,148,4
13,148,5
13,148,7
13,149,4
13,149,7
13,150,12
13,151,6
13,152,3
13,152,4
13,152,7
13,153,4
13,153,7
13,154,3
13,154,4
13,154,7
13,155,4
13,155,7
13,156,6
13,156,15
13,157,4
13,157,7
13,158,3
13,158,4
13,158,7
13,159,6
13,160,6
13,161,4
13,161,7
13,162,3
13,162,4
13,162,7
13,163,3
13,163,4
13,163,7
13,164,6
13,165,3
13,165,4
13,166,16
13,167,3
13,167,4
13,167,7
13,168,3
13,168,4
13,168,7
13,169,4
13,169,5
13,169,7
13,170,4
13,170,7
13,171,4
13,171,7
13,172,3
13,172,4
13,172,7
13,172,13
13,173,4
13,173,7
13,173,11
13,174,16
13,175,3
13,175,4
13,175,7
13,176,16
13,177,4
13,177,7
13,177,14
13,178,4
13,178,5
13,178,7
13,179,3
13,179,4
13,179,7
13,180,4
13,180,5
13,180,7
13,180,16
13,181,4
13,181,7
13,183,3
13,183,4
13,183,7
13,183,10
13,184,4
13,184,5
13,184,7
13,185,3
13,185,4
13,185,7
13,186,4
13,186,5
13,186,7
13,187,6
13,188,4
13,188,7
13,189,4
13,189,7
13,190,4
13,190,7
13,191,5
13,192,4
13,192,7
13,193,4
13,193,5
13,193,7
13,193,16
13,194,16
13,195,11
13,195,14
13,195,16
13,196,4
13,196,7
