language_id,move_id,name
1,1,はたく
1,2,からてチョップ
1,3,おうふくビンタ
1,4,れんぞくパンチ
1,5,メガトンパンチ
1,6,ネコにこばん
1,7,ほのおのパンチ
1,8,れいとうパンチ
1,9,かみなりパンチ
1,10,ひっかく
1,11,はさむ
1,12,ハサミギロチン
1,13,かまいたち
1,14,つるぎのまい
1,15,いあいぎり
1,16,かぜおこし
1,17,つばさでうつ
1,18,ふきとばし
1,19,そらをとぶ
1,20,しめつける
1,21,たたきつける
1,22,つるのムチ
1,23,ふみつけ
1,24,にどげり
1,25,メガトンキック
1,26,とびげり
1,27,まわしげり
1,28,すなかけ
1,29,ずつき
1,30,つのでつく
1,31,みだれづき
1,32,つのドリル
1,33,たいあたり
1,34,のしかかり
1,35,まきつく
1,36,とっしん
1,37,あばれる
1,38,すてみタックル
1,39,しっぽをふる
1,40,どくばり
1,41,ダブルニードル
1,42,ミサイルばり
1,43,にらみつける
1,44,かみつく
1,45,なきごえ
1,46,ほえる
1,47,うたう
1,48,ちょうおんぱ
1,49,ソニックブーム
1,50,かなしばり
1,51,ようかいえき
1,52,ひのこ
1,53,かえんほうしゃ
1,54,しろいきり
1,55,みずでっぽう
1,56,ハイドロポンプ
1,57,なみのり
1,58,れいとうビーム
1,59,ふぶき
1,60,サイケこうせん
1,61,バブルこうせん
1,62,オーロラビーム
1,63,はかいこうせん
1,64,つつく
1,65,ドリルくちばし
1,66,じごくぐるま
1,67,けたぐり
1,68,カウンター
1,69,ちきゅうなげ
1,70,かいりき
1,71,すいとる
1,72,メガドレイン
1,73,やどりぎのタネ
1,74,せいちょう
1,75,はっぱカッター
1,76,ソーラービーム
1,77,どくのこな
1,78,しびれごな
1,79,ねむりごな
1,80,はなびらのまい
1,81,いとをはく
1,82,りゅうのいかり
1,83,ほのおのうず
1,84,でんきショック
1,85,１０まんボルト
1,86,でんじは
1,87,かみなり
1,88,いわおとし
1,89,じしん
1,90,じわれ
1,91,あなをほる
1,92,どくどく
1,93,ねんりき
1,94,サイコキネシス
1,95,さいみんじゅつ
1,96,ヨガのポーズ
1,97,こうそくいどう
1,98,でんこうせっか
1,99,いかり
1,100,テレポート
1,101,ナイトヘッド
1,102,ものまね
1,103,いやなおと
1,104,かげぶんしん
1,105,じこさいせい
1,106,かたくなる
1,107,ちいさくなる
1,108,えんまく
1,109,あやしいひかり
1,110,からにこもる
1,111,まるくなる
1,112,バリアー
1,113,ひかりのかべ
1,114,くろいきり
1,115,リフレクター
1,116,きあいだめ
1,117,がまん
1,118,ゆびをふる
1,119,オウムがえし
1,120,じばく
1,121,タマゴばくだん
1,122,したでなめる
1,123,スモッグ
1,124,ヘドロこうげき
1,125,ホネこんぼう
1,126,だいもんじ
1,127,たきのぼり
1,128,からではさむ
1,129,スピードスター
1,130,ロケットずつき
1,131,とげキャノン
1,132,からみつく
1,133,ドわすれ
1,134,スプーンまげ
1,135,タマゴうみ
1,136,とびひざげり
1,137,へびにらみ
1,138,ゆめくい
1,139,どくガス
1,140,たまなげ
1,141,きゅうけつ
1,142,あくまのキッス
1,143,ゴッドバード
1,144,へんしん
1,145,あわ
1,146,ピヨピヨパンチ
1,147,キノコのほうし
1,148,フラッシュ
1,149,サイコウェーブ
1,150,はねる
1,151,とける
1,152,クラブハンマー
1,153,だいばくはつ
1,154,みだれひっかき
1,155,ホネブーメラン
1,156,ねむる
1,157,いわなだれ
1,158,ひっさつまえば
1,159,かくばる
1,160,テクスチャー
1,161,トライアタック
1,162,いかりのまえば
1,163,きりさく
1,164,みがわり
1,165,わるあがき
1,166,スケッチ
1,167,トリプルキック
1,168,どろぼう
1,169,クモのす
1,170,こころのめ
1,171,あくむ
1,172,かえんぐるま
1,173,いびき
1,174,のろい
1,175,じたばた
1,176,テクスチャー２
1,177,エアロブラスト
1,178,わたほうし
1,179,きしかいせい
1,180,うらみ
1,181,こなゆき
1,182,まもる
1,183,マッハパンチ
1,184,こわいかお
1,185,だましうち
1,186,てんしのキッス
1,187,はらだいこ
1,188,ヘドロばくだん
1,189,どろかけ
1,190,オクタンほう
1,191,まきびし
1,192,でんじほう
1,193,みやぶる
1,194,みちづれ
1,195,ほろびのうた
1,196,こごえるかぜ
1,197,みきり
1,198,ボーンラッシュ
1,199,ロックオン
1,200,げきりん
1,201,すなあらし
1,202,ギガドレイン
1,203,こらえる
1,204,あまえる
1,205,ころがる
1,206,みねうち
1,207,いばる
1,208,ミルクのみ
1,209,スパーク
1,210,れんぞくぎり
1,211,はがねのつばさ
1,212,くろいまなざし
1,213,メロメロ
1,214,ねごと
1,215,いやしのすず
1,216,おんがえし
1,217,プレゼント
1,218,やつあたり
1,219,しんぴのまもり
1,220,いたみわけ
1,221,せいなるほのお
1,222,マグニチュード
1,223,ばくれつパンチ
1,224,メガホーン
1,225,りゅうのいぶき
1,226,バトンタッチ
1,227,アンコール
1,228,おいうち
1,229,こうそくスピン
1,230,あまいかおり
1,231,アイアンテール
1,232,メタルクロー
1,233,あてみなげ
1,234,あさのひざし
1,235,こうごうせい
1,236,つきのひかり
1,237,めざめるパワー
1,238,クロスチョップ
1,239,たつまき
1,240,あまごい
1,241,にほんばれ
1,242,かみくだく
1,243,ミラーコート
1,244,じこあんじ
1,245,しんそく
1,246,げんしのちから
1,247,シャドーボール
1,248,みらいよち
1,249,いわくだき
1,250,うずしお
1,251,ふくろだたき
1,252,ねこだまし
1,253,さわぐ
1,254,たくわえる
1,255,はきだす
1,256,のみこむ
1,257,ねっぷう
1,258,あられ
1,259,いちゃもん
1,260,おだてる
1,261,おにび
1,262,おきみやげ
1,263,からげんき
1,264,きあいパンチ
1,265,きつけ
1,266,このゆびとまれ
1,267,しぜんのちから
1,268,じゅうでん
1,269,ちょうはつ
1,270,てだすけ
1,271,トリック
1,272,なりきり
1,273,ねがいごと
1,274,ねこのて
1,275,ねをはる
1,276,ばかぢから
1,277,マジックコート
1,278,リサイクル
1,279,リベンジ
1,280,かわらわり
1,281,あくび
1,282,はたきおとす
1,283,がむしゃら
1,284,ふんか
1,285,スキルスワップ
1,286,ふういん
1,287,リフレッシュ
1,288,おんねん
1,289,よこどり
1,290,ひみつのちから
1,291,ダイビング
1,292,つっぱり
1,293,ほごしょく
1,294,ほたるび
1,295,ラスターパージ
1,296,ミストボール
1,297,フェザーダンス
1,298,フラフラダンス
1,299,ブレイズキック
1,300,どろあそび
1,301,アイスボール
1,302,ニードルアーム
1,303,なまける
1,304,ハイパーボイス
1,305,どくどくのキバ
1,306,ブレイククロー
1,307,ブラストバーン
1,308,ハイドロカノン
1,309,コメットパンチ
