language_id,form_id,version_id,entry
1,1,15,うまれてから　しばらくの　あいだは\nせなかの　タネから　えいようを\nもらって　おおきく　そだつ。
1,1,16,うまれてから　しばらくの　あいだは\nせなかの　タネから　えいようを\nもらって　おおきく　そだつ。
1,1,17,うまれてから　しばらくの　あいだは\nせなかの　タネから　えいようを\nもらって　おおきく　そだつ。
1,1,18,せなかの　たねの　なかには\nえいようが　たっぷり。たねは\nからだと　いっしょに　おおきくなる。
1,1,19,うまれたときから　せなかに　タネを\nせおっている。からだが　おおきく\nそだつごとに　タネも　おおきくなる。
1,2,15,せなかの　つぼみが　ふくらみだすと\nあまい　においが　ただよいはじめる。\nたいりんの　はなが　さく　まえぶれ。
1,2,16,せなかの　つぼみが　ふくらみだすと\nあまい　においが　ただよいはじめる。\nたいりんの　はなが　さく　まえぶれ。
1,2,17,せなかの　つぼみが　ふくらみだすと\nあまい　においが　ただよいはじめる。\nたいりんの　はなが　さく　まえぶれ。
1,2,18,たいようの　ひかりを　あびるほど\nからだに　ちからが　わいて\nせなかの　つぼみが　そだっていく。
1,2,19,せなかの　つぼみから　あまいかおりが\nただよいはじめたのは　もうすぐ\nおおきなハナが　ひらく　しょうこだ。
1,3,15,あめの　ふった　よくじつは　せなかの\nはなの　かおりが　つよまる。かおりに\nさそわれ　ポケモンが　あつまる。
1,3,16,あめの　ふった　よくじつは　せなかの\nはなの　かおりが　つよまる。かおりに\nさそわれ　ポケモンが　あつまる。
1,3,17,あめの　ふった　よくじつは　せなかの\nはなの　かおりが　つよまる。かおりに\nさそわれ　ポケモンが　あつまる。
1,3,18,おおきな　はなびらを　ひろげ\nたいようの　ひかりを　あびていると\nからだに　げんきが　みなぎっていく。
1,3,19,あびた　たいようの　ひかりを\nエネルギーに　へんかんできるので\nなつの　ほうが　つよくなる。
1,4,15,ヒトカゲの　しっぽの　ほのおは\nいのちの　ともしび。げんきな　ときは\nほのおも　ちからづよく　もえあがる。
1,4,16,ヒトカゲの　しっぽの　ほのおは\nいのちの　ともしび。げんきな　ときは\nほのおも　ちからづよく　もえあがる。
1,4,17,ヒトカゲの　しっぽの　ほのおは\nいのちの　ともしび。げんきな　ときは\nほのおも　ちからづよく　もえあがる。
1,4,18,シッポで　もえる　ほのおは\nせいめいりょくの　あらわれ。\nげんきがないと　ほのおは　よわまる。
1,4,19,しっぽの　ほのおは　ヒトカゲの\nせいめいりょくの　あかし。\nげんきだと　さかんに　もえさかる。
1,5,15,リザードが　くらす　いわやまを\nよなかに　みあげると　しっぽの\nほのおが　ほしのように　みえる。
1,5,16,リザードが　くらす　いわやまを\nよなかに　みあげると　しっぽの\nほのおが　ほしのように　みえる。
1,5,17,リザードが　くらす　いわやまを\nよなかに　みあげると　しっぽの\nほのおが　ほしのように　みえる。
1,5,18,もえたぎるような　せいかくで　いつも\nたたかう　あいてを　さがしている。\nかたないと　ちが　しずまらない。
1,5,19,もえる　しっぽを　ふりまわし\nするどい　ツメで　あいてを　きりさく\nあらあらしい　せいかく。
1,6,15,くるしい　たたかいを　けいけんした\nリザードンほど　ほのおの　おんどが\nたかくなると　いわれている。
1,6,16,くるしい　たたかいを　けいけんした\nリザードンほど　ほのおの　おんどが\nたかくなると　いわれている。
1,6,17,くるしい　たたかいを　けいけんした\nリザードンほど　ほのおの　おんどが\nたかくなると　いわれている。
1,6,18,ほんきで　おこった　リザードンの\nしっぽの　さきの　ほのおは\nあおじろく　もえあがる。
1,6,19,なんでも　とかしてしまうほどの\nしゃくねつの　ほのおを　ふきだし\nあいてを　くるしめる。
1,7,15,こうらに　とじこもり　みを　まもる。\nあいての　すきを　みのがさず\nみずを　ふきだして　はんげきする。
1,7,16,こうらに　とじこもり　みを　まもる。\nあいての　すきを　みのがさず\nみずを　ふきだして　はんげきする。
1,7,17,こうらに　とじこもり　みを　まもる。\nあいての　すきを　みのがさず\nみずを　ふきだして　はんげきする。
1,7,18,うまれたては　やわらかい　こうらも\nすぐに　ゆびでつつくと　はじくほどの\nだんりょくせいを　もつようになる。
1,7,19,うまれて　しばらくすると　かたまる\nこうらには　だんりょくせいが　あって\nゆびで　つつくと　はじきかえされる。
1,8,15,いちまんねんの　じゅみょうを　もつと\nいわれている。ふさふさの　しっぽは\nながいきの　シンボルとして　にんき。
1,8,16,いちまんねんの　じゅみょうを　もつと\nいわれている。ふさふさの　しっぽは\nながいきの　シンボルとして　にんき。
1,8,17,いちまんねんの　じゅみょうを　もつと\nいわれている。ふさふさの　しっぽは\nながいきの　シンボルとして　にんき。
1,8,18,ながいきの　シンボルと　されている。\nこうらに　コケが　ついているのは\nとくに　ながいきの　カメールだ。
1,8,19,ふさふさの　みみと　しっぽを\nたくみに　あやつって　すいちゅうでの\nバランスを　たもつ。
1,9,15,こうらの　ロケットほうから　ふきだす\nすいりゅうは　ぶあつい　てっぱんも\nいっぱつで　つらぬく　はかいりょく。
1,9,16,こうらの　ロケットほうから　ふきだす\nすいりゅうは　ぶあつい　てっぱんも\nいっぱつで　つらぬく　はかいりょく。
1,9,17,こうらの　ロケットほうから　ふきだす\nすいりゅうは　ぶあつい　てっぱんも\nいっぱつで　つらぬく　はかいりょく。
1,9,18,ふんしゃした　みずの　いきおいに\nまけないように　わざと\nたいじゅうを　おもくしているのだ。
1,9,19,こうらの　ロケットほう　から\nふきだした　ジェットすいりゅうは\nぶあつい　てっぱんも　つらぬく。
1,10,15,あかい　しょっかくから　においを\nだして　てきを　おいはらう。\nだっぴを　くりかえし　おおきくなる。
1,10,16,あかい　しょっかくから　においを\nだして　てきを　おいはらう。\nだっぴを　くりかえし　おおきくなる。
1,10,17,あかい　しょっかくから　においを\nだして　てきを　おいはらう。\nだっぴを　くりかえし　おおきくなる。
1,10,18,あたまの　しょっかく　から\nきょうれつな　においを　だして\nてきを　おいはらい　みをまもる。
1,10,19,あしの　さきは　どんなところにも\nすいつく　きゅうばん。ひっしに\nきのぼりをして　はっぱを　たべる。
1,11,15,こうてつのように　かたい　カラで\nやわらかい　なかみを　まもっている。\nしんかするまで　じっと　たえている。
1,11,16,こうてつのように　かたい　カラで\nやわらかい　なかみを　まもっている。\nしんかするまで　じっと　たえている。
1,11,17,こうてつのように　かたい　カラで\nやわらかい　なかみを　まもっている。\nしんかするまで　じっと　たえている。
1,11,18,カラのなかは　しんかの　じゅんびで\nとても　やわらかく　くずれやすい。\nなるべく　うごかないようにしている。
1,11,19,いっしょうけんめい　そとがわの\nカラをかため　しんかの　じゅんびで\nやわらかい　からだを　まもっている。
