version_group_id,move_id,can_use_move,type_id,quality_id,category_id,power,accuracy,pp,priority,min_hits,max_hits,infliction_id,infliction_percent,min_turns,max_turns,crit_stage,flinch_percent,effect,effect_percent,recoil_percent,heal_percent,target_id,affinity_id,z_move_id,z_base_power,z_power_effect,max_move_id,max_power
5,1,1,0,\N,1,40,100,35,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,2,1,1,\N,1,50,100,25,0,0,0,\N,0,0,0,1,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,3,1,0,\N,1,15,85,10,0,2,5,\N,0,0,0,0,0,29,0,0,0,0,\N,\N,\N,\N,\N,\N
5,4,1,0,\N,1,18,85,15,0,2,5,\N,0,0,0,0,0,29,0,0,0,0,\N,\N,\N,\N,\N,\N
5,5,1,0,\N,1,80,85,20,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,6,1,0,\N,1,40,100,20,0,0,0,\N,0,0,0,0,0,34,0,0,0,0,\N,\N,\N,\N,\N,\N
5,7,1,9,\N,2,75,100,15,0,0,0,4,10,0,0,0,0,4,10,0,0,0,\N,\N,\N,\N,\N,\N
5,8,1,14,\N,2,75,100,15,0,0,0,3,10,0,0,0,0,5,10,0,0,0,\N,\N,\N,\N,\N,\N
5,9,1,12,\N,2,75,100,15,0,0,0,1,10,0,0,0,0,6,10,0,0,0,\N,\N,\N,\N,\N,\N
5,10,1,0,\N,1,40,100,35,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,11,1,0,\N,1,55,100,30,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,12,1,0,\N,1,0,30,5,0,0,0,\N,0,0,0,0,0,38,0,0,0,0,\N,\N,\N,\N,\N,\N
5,13,1,0,\N,1,80,75,10,0,0,0,\N,0,0,0,1,0,39,0,0,0,0,\N,\N,\N,\N,\N,\N
5,14,1,0,\N,0,0,100,30,0,0,0,\N,0,0,0,0,0,50,0,0,0,7,\N,\N,\N,\N,\N,\N
5,15,1,0,\N,1,50,95,30,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,16,1,2,\N,1,40,100,35,0,0,0,\N,0,0,0,0,0,149,0,0,0,0,\N,\N,\N,\N,\N,\N
5,17,1,2,\N,1,60,100,35,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,18,1,0,\N,0,0,100,20,-1,0,0,\N,0,0,0,0,0,28,0,0,0,0,\N,\N,\N,\N,\N,\N
5,19,1,2,\N,1,70,95,15,0,0,0,\N,0,0,0,0,0,155,0,0,0,0,\N,\N,\N,\N,\N,\N
5,20,1,0,\N,1,15,75,20,0,0,0,8,100,3,6,0,0,42,0,0,0,0,\N,\N,\N,\N,\N,\N
5,21,1,0,\N,1,80,75,20,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,22,1,11,\N,2,35,100,10,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,23,1,0,\N,1,65,100,20,0,0,0,\N,0,0,0,0,30,150,30,0,0,0,\N,\N,\N,\N,\N,\N
5,24,1,1,\N,1,30,100,30,0,2,2,\N,0,0,0,0,0,44,0,0,0,0,\N,\N,\N,\N,\N,\N
5,25,1,0,\N,1,120,75,5,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,26,1,1,\N,1,70,95,25,0,0,0,\N,0,0,0,0,0,45,0,0,0,0,\N,\N,\N,\N,\N,\N
5,27,1,1,\N,1,60,85,15,0,0,0,\N,0,0,0,0,30,31,30,0,0,0,\N,\N,\N,\N,\N,\N
5,28,1,4,\N,0,0,100,15,0,0,0,\N,0,0,0,0,0,23,0,0,0,0,\N,\N,\N,\N,\N,\N
5,29,1,0,\N,1,70,100,15,0,0,0,\N,0,0,0,0,30,31,30,0,0,0,\N,\N,\N,\N,\N,\N
5,30,1,0,\N,1,65,100,25,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,31,1,0,\N,1,15,85,20,0,2,5,\N,0,0,0,0,0,29,0,0,0,0,\N,\N,\N,\N,\N,\N
5,32,1,0,\N,1,1,30,5,0,0,0,\N,0,0,0,0,0,38,0,0,0,0,\N,\N,\N,\N,\N,\N
5,33,1,0,\N,1,35,95,35,0,0,0,\N,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N
5,34,1,0,\N,1,85,100,15,0,0,0,1,30,0,0,0,0,6,30,0,0,0,\N,\N,\N,\N,\N,\N
5,35,1,0,\N,1,15,85,20,0,0,0,8,100,3,6,0,0,42,0,0,0,0,\N,\N,\N,\N,\N,\N
5,36,1,0,\N,1,90,85,20,0,0,0,\N,0,0,0,0,0,48,0,-25,0,0,\N,\N,\N,\N,\N,\N
5,37,1,0,\N,1,90,100,20,0,0,0,\N,0,0,0,0,0,27,0,0,0,0,\N,\N,\N,\N,\N,\N
5,38,1,0,\N,1,120,100,15,0,0,0,\N,0,0,0,0,0,48,0,-25,0,0,\N,\N,\N,\N,\N,\N
5,39,1,0,\N,0,0,100,30,0,0,0,\N,0,0,0,0,0,19,0,0,0,0,\N,\N,\N,\N,\N,\N
5,40,1,3,\N,1,15,100,35,0,0,0,5,30,0,0,0,0,2,30,0,0,0,\N,\N,\N,\N,\N,\N
5,41,1,6,\N,1,25,100,20,0,2,2,5,20,0,0,0,0,77,20,0,0,0,\N,\N,\N,\N,\N,\N
5,42,1,6,\N,1,14,85,20,0,2,5,\N,0,0,0,0,0,29,0,0,0,0,\N,\N,\N,\N,\N,\N
5,43,1,0,\N,0,0,100,30,0,0,0,\N,0,0,0,0,0,19,0,0,0,0,\N,\N,\N,\N,\N,\N
5,44,1,16,\N,2,60,100,25,0,0,0,\N,0,0,0,0,30,31,30,0,0,0,\N,\N,\N,\N,\N,\N
5,45,1,0,\N,0,0,100,40,0,0,0,\N,0,0,0,0,0,18,0,0,0,0,\N,\N,\N,\N,\N,\N
5,46,1,0,\N,0,0,100,20,-1,0,0,\N,0,0,0,0,0,28,0,0,0,0,\N,\N,\N,\N,\N,\N
5,47,1,0,\N,0,0,55,15,0,0,0,2,0,2,7,0,0,1,0,0,0,0,\N,\N,\N,\N,\N,\N
5,48,1,0,\N,0,0,55,20,0,0,0,6,0,2,5,0,0,49,0,0,0,0,\N,\N,\N,\N,\N,\N
