version_group_id,move_id,can_use_move,type_id,quality_id,category_id,power,accuracy,pp,priority,min_hits,max_hits,infliction_id,infliction_percent,duration_id,min_turns,max_turns,crit_stage,flinch_percent,effect,recoil_percent,heal_percent,target_id,affinity_id,max_move_id,max_power,z_move_id,z_base_power,z_power_effect_id,effect_percent
27,1,1,0,\N,1,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,2,0,1,\N,1,50,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,3,0,0,\N,1,15,85,12,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,4,0,0,\N,1,18,85,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,5,0,0,\N,1,80,85,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,6,0,0,\N,1,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,7,1,9,\N,1,75,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,8,1,14,\N,1,75,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,9,1,12,\N,1,75,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,10,0,0,\N,1,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,11,0,0,\N,1,55,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,12,1,0,\N,1,1,30,8,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,13,0,0,\N,2,80,100,12,0,0,0,\N,0,\N,0,0,0,0,0,0,0,5,\N,\N,\N,\N,\N,\N,\N
27,14,1,0,\N,0,0,101,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,7,\N,\N,\N,\N,\N,\N,\N
27,15,0,0,\N,1,50,95,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,16,0,2,\N,2,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,17,0,2,\N,1,60,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,18,1,0,\N,0,0,101,20,-6,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,19,1,2,\N,1,90,95,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,20,1,0,\N,1,15,85,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,21,0,0,\N,1,80,75,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,22,0,11,\N,1,45,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,23,0,0,\N,1,65,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,24,0,1,\N,1,30,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,25,1,0,\N,1,120,75,8,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,26,0,1,\N,1,100,95,12,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,27,0,1,\N,1,60,85,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,28,0,4,\N,0,0,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,29,0,0,\N,1,70,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,30,0,0,\N,1,65,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,31,0,0,\N,1,15,85,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,32,1,0,\N,1,1,30,8,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,33,0,0,\N,1,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,34,1,0,\N,1,85,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,35,1,0,\N,1,15,90,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,36,0,0,\N,1,90,85,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,37,1,0,\N,1,120,100,12,0,0,0,\N,0,\N,0,0,0,0,0,0,0,9,\N,\N,\N,\N,\N,\N,\N
27,38,1,0,\N,1,120,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,39,0,0,\N,0,0,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,5,\N,\N,\N,\N,\N,\N,\N
27,40,0,3,\N,1,15,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,41,0,6,\N,1,25,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,42,1,6,\N,1,25,95,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,43,0,0,\N,0,0,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,5,\N,\N,\N,\N,\N,\N,\N
27,44,1,16,\N,1,60,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,45,0,0,\N,0,0,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,5,\N,\N,\N,\N,\N,\N,\N
27,46,1,0,\N,0,0,101,20,-6,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,47,1,0,\N,0,0,55,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,48,0,0,\N,0,0,55,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,49,0,0,\N,2,1,90,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,50,1,0,\N,0,0,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,51,0,3,\N,2,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,5,\N,\N,\N,\N,\N,\N,\N
27,52,0,9,\N,2,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,53,1,9,\N,2,90,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,54,0,14,\N,0,0,101,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,12,\N,\N,\N,\N,\N,\N,\N
27,55,0,10,\N,2,40,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,56,1,10,\N,2,110,80,8,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,57,1,10,\N,2,90,100,16,0,0,0,\N,0,\N,0,0,0,0,0,0,0,4,\N,\N,\N,\N,\N,\N,\N
27,58,1,14,\N,2,90,100,12,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,59,1,14,\N,2,110,70,8,0,0,0,\N,0,\N,0,0,0,0,0,0,0,5,\N,\N,\N,\N,\N,\N,\N
27,60,0,13,\N,2,65,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,61,0,10,\N,2,65,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
27,62,0,14,\N,2,65,100,20,0,0,0,\N,0,\N,0,0,0,0,0,0,0,0,\N,\N,\N,\N,\N,\N,\N
