version_group_id,move_id,can_use_move,type_id,quality_id,category_id,power,accuracy,pp,priority,min_hits,max_hits,infliction_id,infliction_percent,duration_id,min_turns,max_turns,crit_stage,flinch_percent,effect,recoil_percent,heal_percent,target_id,affinity_id,max_move_id,max_power,z_move_id,z_base_power,z_power_effect,effect_percent,
17,1,1,0,0,1,40,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,100,\N,\N,622
17,2,1,1,0,1,50,100,25,0,0,0,0,0,0,0,0,1,0,43,0,0,0,\N,\N,\N,624,100,\N,\N,
17,3,1,0,0,1,15,85,10,0,2,5,0,0,0,0,0,0,0,29,0,0,0,\N,\N,\N,622,100,\N,\N,
17,4,1,0,0,1,18,85,15,0,2,5,0,0,0,0,0,0,0,29,0,0,0,\N,\N,\N,622,100,\N,\N,
17,5,1,0,0,1,80,85,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,160,\N,\N,
17,6,1,0,0,1,40,100,20,0,0,0,0,0,0,0,0,0,0,34,0,0,0,\N,\N,\N,622,100,\N,\N,
17,7,1,9,4,1,75,100,15,0,0,0,4,10,1,0,0,0,0,4,0,0,0,\N,\N,\N,640,140,\N,\N,
17,8,1,14,4,1,75,100,15,0,0,0,3,10,1,0,0,0,0,5,0,0,0,\N,\N,\N,650,140,\N,\N,
17,9,1,12,4,1,75,100,15,0,0,0,1,10,1,0,0,0,0,6,0,0,0,\N,\N,\N,646,140,\N,\N,
17,10,1,0,0,1,40,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,100,\N,\N,
17,11,1,0,0,1,55,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,100,\N,\N,
17,12,1,0,9,1,1,30,5,0,0,0,0,0,0,0,0,0,0,38,0,0,0,\N,\N,\N,622,180,\N,\N,
17,13,1,0,0,2,80,100,10,0,0,0,0,0,0,0,0,1,0,39,0,0,5,\N,\N,\N,622,160,\N,\N,
17,14,1,0,2,0,0,101,20,0,0,0,0,0,0,0,0,0,0,50,0,0,7,\N,\N,\N,14,0,26,\N,
17,15,1,0,0,1,50,95,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,100,\N,\N,
17,16,1,2,0,2,40,100,35,0,0,0,0,0,0,0,0,0,0,149,0,0,0,\N,\N,\N,626,100,\N,\N,
17,17,1,2,0,1,60,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,626,120,\N,\N,
17,18,1,0,12,0,0,101,20,-6,0,0,0,0,0,0,0,0,0,28,0,0,0,\N,\N,\N,18,0,10,\N,
17,19,1,2,0,1,90,95,15,0,0,0,0,0,0,0,0,0,0,155,0,0,0,\N,\N,\N,626,175,\N,\N,
17,20,1,0,4,1,15,85,20,0,0,0,8,100,4,5,6,0,0,42,0,0,0,\N,\N,\N,622,100,\N,\N,
17,21,1,0,0,1,80,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,160,\N,\N,
17,22,1,11,0,1,45,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,644,100,\N,\N,
17,23,1,0,0,1,65,100,20,0,0,0,0,0,0,0,0,0,30,150,0,0,0,\N,\N,\N,622,120,\N,\N,
17,24,1,1,0,1,30,100,30,0,2,2,0,0,0,0,0,0,0,44,0,0,0,\N,\N,\N,624,100,\N,\N,
17,25,1,0,0,1,120,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,190,\N,\N,
17,26,1,1,0,1,100,95,10,0,0,0,0,0,0,0,0,0,0,45,0,0,0,\N,\N,\N,624,180,\N,\N,
17,27,1,1,0,1,60,85,15,0,0,0,0,0,0,0,0,0,30,31,0,0,0,\N,\N,\N,624,120,\N,\N,
17,28,1,4,2,0,0,100,15,0,0,0,0,0,0,0,0,0,0,23,0,0,0,\N,\N,\N,28,0,19,\N,
17,29,1,0,0,1,70,100,15,0,0,0,0,0,0,0,0,0,30,31,0,0,0,\N,\N,\N,622,140,\N,\N,
17,30,1,0,0,1,65,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,120,\N,\N,
17,31,1,0,0,1,15,85,20,0,2,5,0,0,0,0,0,0,0,29,0,0,0,\N,\N,\N,622,100,\N,\N,
17,32,1,0,9,1,1,30,5,0,0,0,0,0,0,0,0,0,0,38,0,0,0,\N,\N,\N,622,180,\N,\N,
17,33,1,0,0,1,40,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,100,\N,\N,
17,34,1,0,4,1,85,100,15,0,0,0,1,30,1,0,0,0,0,6,0,0,0,\N,\N,\N,622,160,\N,\N,
17,35,1,0,4,1,15,90,20,0,0,0,8,100,4,5,6,0,0,42,0,0,0,\N,\N,\N,622,100,\N,\N,
17,36,1,0,0,1,90,85,20,0,0,0,0,0,0,0,0,0,0,48,-25,0,0,\N,\N,\N,622,175,\N,\N,
17,37,1,0,0,1,120,100,10,0,0,0,0,0,0,0,0,0,0,27,0,0,9,\N,\N,\N,622,190,\N,\N,
17,38,1,0,0,1,120,100,15,0,0,0,0,0,0,0,0,0,0,198,-33,0,0,\N,\N,\N,622,190,\N,\N,
17,39,1,0,2,0,0,100,30,0,0,0,0,0,0,0,0,0,0,19,0,0,5,\N,\N,\N,39,0,1,\N,
17,40,1,3,4,1,15,100,35,0,0,0,5,30,1,0,0,0,0,2,0,0,0,\N,\N,\N,628,100,\N,\N,
17,41,1,6,4,1,25,100,20,0,2,2,5,20,1,0,0,0,0,77,0,0,0,\N,\N,\N,634,100,\N,\N,
17,42,1,6,0,1,25,95,20,0,2,5,0,0,0,0,0,0,0,29,0,0,0,\N,\N,\N,634,140,\N,\N,
17,43,1,0,2,0,0,100,30,0,0,0,0,0,0,0,0,0,0,19,0,0,5,\N,\N,\N,43,0,1,\N,
17,44,1,16,0,1,60,100,25,0,0,0,0,0,0,0,0,0,30,31,0,0,0,\N,\N,\N,654,120,\N,\N,
17,45,1,0,2,0,0,100,40,0,0,0,0,0,0,0,0,0,0,18,0,0,5,\N,\N,\N,45,0,4,\N,
17,46,1,0,12,0,0,101,20,-6,0,0,0,0,0,0,0,0,0,28,0,0,0,\N,\N,\N,46,0,4,\N,
17,47,1,0,1,0,0,55,15,0,0,0,2,0,2,2,4,0,0,1,0,0,0,\N,\N,\N,47,0,13,\N,
17,48,1,0,1,0,0,55,20,0,0,0,6,0,2,2,5,0,0,49,0,0,0,\N,\N,\N,48,0,13,\N,
17,49,1,0,0,2,1,90,20,0,0,0,0,0,0,0,0,0,0,130,0,0,0,\N,\N,\N,622,100,\N,\N,
17,50,1,0,13,0,0,100,20,0,0,0,13,0,2,4,4,0,0,86,0,0,0,\N,\N,\N,50,0,26,\N,
17,51,1,3,6,2,40,100,30,0,0,0,0,0,0,0,0,0,0,72,0,0,5,\N,\N,\N,628,100,\N,\N,
17,52,1,9,4,2,40,100,25,0,0,0,4,10,1,0,0,0,0,4,0,0,0,\N,\N,\N,640,100,\N,\N,
17,53,1,9,4,2,90,100,15,0,0,0,4,10,1,0,0,0,0,4,0,0,0,\N,\N,\N,640,175,\N,\N,
17,54,1,14,11,0,0,101,30,0,0,0,0,0,0,0,0,0,0,46,0,0,12,\N,\N,\N,54,0,27,\N,
17,55,1,10,0,2,40,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,642,100,\N,\N,
17,56,1,10,0,2,110,80,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,642,185,\N,\N,
17,57,1,10,0,2,90,100,15,0,0,0,0,0,0,0,0,0,0,257,0,0,4,\N,\N,\N,642,175,\N,\N,
17,58,1,14,4,2,90,100,10,0,0,0,3,10,1,0,0,0,0,5,0,0,0,\N,\N,\N,650,175,\N,\N,
17,59,1,14,4,2,110,70,5,0,0,0,3,10,1,0,0,0,0,260,0,0,5,\N,\N,\N,650,185,\N,\N,
17,60,1,13,4,2,65,100,20,0,0,0,6,10,2,2,5,0,0,76,0,0,0,\N,\N,\N,648,120,\N,\N,
17,61,1,10,6,2,65,100,20,0,0,0,0,0,0,0,0,0,0,70,0,0,0,\N,\N,\N,642,120,\N,\N,
17,62,1,14,6,2,65,100,20,0,0,0,0,0,0,0,0,0,0,68,0,0,0,\N,\N,\N,650,120,\N,\N,
17,63,1,0,0,2,150,90,5,0,0,0,0,0,0,0,0,0,0,80,0,0,0,\N,\N,\N,622,200,\N,\N,
17,64,1,2,0,1,35,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,626,100,\N,\N,
17,65,1,2,0,1,80,100,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,626,160,\N,\N,
17,66,1,1,0,1,80,80,20,0,0,0,0,0,0,0,0,0,0,48,-25,0,0,\N,\N,\N,624,160,\N,\N,
17,67,1,1,0,1,1,100,20,0,0,0,0,0,0,0,0,0,0,196,0,0,0,\N,\N,\N,624,160,\N,\N,
17,68,1,1,0,1,1,100,20,-5,0,0,0,0,0,0,0,0,0,89,0,0,13,\N,\N,\N,624,100,\N,\N,
17,69,1,1,0,1,1,100,20,0,0,0,0,0,0,0,0,0,0,87,0,0,0,\N,\N,\N,624,100,\N,\N,
17,70,1,0,0,1,80,100,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,\N,\N,622,160,\N,\N,
17,71,1,11,8,2,20,100,25,0,0,0,0,0,0,0,0,0,0,3,50,0,0,\N,\N,\N,644,100,\N,\N,
17,72,1,11,8,2,40,100,15,0,0,0,0,0,0,0,0,0,0,3,50,0,0,\N,\N,\N,644,120,\N,\N,
17,73,1,11,1,0,0,90,10,0,0,0,18,0,1,0,0,0,0,84,0,0,0,\N,\N,\N,73,0,26,\N,
17,74,1,0,2,0,0,101,20,0,0,0,0,0,0,0,0,0,0,316,0,0,7,\N,\N,\N,74,0,7,\N,
17,75,1,11,0,1,55,95,25,0,0,0,0,0,0,0,0,1,0,43,0,0,5,\N,\N,\N,644,100,\N,\N,
17,76,1,11,0,2,120,100,10,0,0,0,0,0,0,0,0,0,0,151,0,0,0,\N,\N,\N,644,190,\N,\N,
17,77,1,3,1,0,0,75,35,0,0,0,5,0,1,0,0,0,0,66,0,0,0,\N,\N,\N,77,0,4,\N,
17,78,1,11,1,0,0,75,30,0,0,0,1,0,1,0,0,0,0,67,0,0,0,\N,\N,\N,78,0,10,\N,
17,79,1,11,1,0,0,75,15,0,0,0,2,0,2,2,4,0,0,1,0,0,0,\N,\N,\N,79,0,13,\N,
17,80,1,11,0,2,120,100,10,0,0,0,0,0,0,0,0,0,0,27,0,0,9,\N,\N,\N,644,190,\N,\N,
17,81,1,6,2,0,0,95,40,0,0,0,0,0,0,0,0,0,0,60,0,0,5,\N,\N,\N,81,0,13,\N,
17,82,1,15,0,2,1,100,10,0,0,0,0,0,0,0,0,0,0,41,0,0,0,\N,\N,\N,652,100,\N,\N,
17,83,1,9,4,2,35,85,15,0,0,0,8,100,4,5,6,0,0,42,0,0,0,\N,\N,\N,640,100,\N,\N,
17,84,1,12,4,2,40,100,30,0,0,0,1,10,1,0,0,0,0,6,0,0,0,\N,\N,\N,646,100,\N,\N,
17,85,1,12,4,2,90,100,15,0,0,0,1,10,1,0,0,0,0,6,0,0,0,\N,\N,\N,646,175,\N,\N,
