language_id,pokemon_id,name
1,1,フシギダネ
1,2,フシギソウ
1,3,フシギバナ
1,4,ヒトカゲ
1,5,リザード
1,6,リザードン
1,7,ゼニガメ
1,8,カメール
1,9,カメックス
1,10,キャタピー
1,11,トランセル
1,12,バタフリー
1,13,ビードル
1,14,コクーン
1,15,スピアー
1,16,ポッポ
1,17,ピジョン
1,18,ピジョット
1,19,コラッタ
1,20,ラッタ
1,21,オニスズメ
1,22,オニドリル
1,23,アーボ
1,24,アーボック
1,25,ピカチュウ
1,26,ライチュウ
1,27,サンド
1,28,サンドパン
1,29,ニドラン♀
1,30,ニドリーナ
1,31,ニドクイン
1,32,ニドラン♂
1,33,ニドリーノ
1,34,ニドキング
1,35,ピッピ
1,36,ピクシー
1,37,ロコン
1,38,キュウコン
1,39,プリン
1,40,プクリン
1,41,ズバット
1,42,ゴルバット
1,43,ナゾノクサ
1,44,クサイハナ
1,45,ラフレシア
1,46,パラス
1,47,パラセクト
1,48,コンパン
1,49,モルフォン
1,50,ディグダ
1,51,ダグトリオ
1,52,ニャース
1,53,ペルシアン
1,54,コダック
1,55,ゴルダック
1,56,マンキー
1,57,オコリザル
1,58,ガーディ
1,59,ウインディ
1,60,ニョロモ
1,61,ニョロゾ
1,62,ニョロボン
1,63,ケーシィ
1,64,ユンゲラー
1,65,フーディン
1,66,ワンリキー
1,67,ゴーリキー
1,68,カイリキー
1,69,マダツボミ
1,70,ウツドン
1,71,ウツボット
1,72,メノクラゲ
1,73,ドククラゲ
1,74,イシツブテ
1,75,ゴローン
1,76,ゴローニャ
1,77,ポニータ
1,78,ギャロップ
1,79,ヤドン
1,80,ヤドラン
1,81,コイル
1,82,レアコイル
1,83,カモネギ
1,84,ドードー
1,85,ドードリオ
1,86,パウワウ
1,87,ジュゴン
1,88,ベトベター
1,89,ベトベトン
1,90,シェルダー
1,91,パルシェン
1,92,ゴース
1,93,ゴースト
1,94,ゲンガー
1,95,イワーク
1,96,スリープ
1,97,スリーパー
1,98,クラブ
1,99,キングラー
1,100,ビリリダマ
1,101,マルマイン
1,102,タマタマ
1,103,ナッシー
1,104,カラカラ
1,105,ガラガラ
1,106,サワムラー
1,107,エビワラー
1,108,ベロリンガ
1,109,ドガース
1,110,マタドガス
1,111,サイホーン
1,112,サイドン
1,113,ラッキー
1,114,モンジャラ
1,115,ガルーラ
1,116,タッツー
1,117,シードラ
1,118,トサキント
1,119,アズマオウ
1,120,ヒトデマン
1,121,スターミー
1,122,バリヤード
1,123,ストライク
1,124,ルージュラ
1,125,エレブー
1,126,ブーバー
1,127,カイロス
1,128,ケンタロス
1,129,コイキング
1,130,ギャラドス
1,131,ラプラス
1,132,メタモン
1,133,イーブイ
1,134,シャワーズ
1,135,サンダース
1,136,ブースター
1,137,ポリゴン
1,138,オムナイト
1,139,オムスター
1,140,カブト
1,141,カブトプス
1,142,プテラ
1,143,カビゴン
1,144,フリーザー
1,145,サンダー
1,146,ファイヤー
1,147,ミニリュウ
1,148,ハクリュー
1,149,カイリュー
1,150,ミュウツー
1,151,ミュウ
1,152,チコリータ
1,153,ベイリーフ
1,154,メガニウム
1,155,ヒノアラシ
1,156,マグマラシ
1,157,バクフーン
1,158,ワニノコ
1,159,アリゲイツ
1,160,オーダイル
1,161,オタチ
1,162,オオタチ
1,163,ホーホー
1,164,ヨルノズク
1,165,レディバ
1,166,レディアン
1,167,イトマル
1,168,アリアドス
1,169,クロバット
1,170,チョンチー
1,171,ランターン
1,172,ピチュー
1,173,ピィ
1,174,ププリン
1,175,トゲピー
1,176,トゲチック
1,177,ネイティ
1,178,ネイティオ
1,179,メリープ
1,180,モココ
1,181,デンリュウ
1,182,キレイハナ
1,183,マリル
1,184,マリルリ
1,185,ウソッキー
1,186,ニョロトノ
1,187,ハネッコ
1,188,ポポッコ
1,189,ワタッコ
1,190,エイパム
1,191,ヒマナッツ
1,192,キマワリ
1,193,ヤンヤンマ
1,194,ウパー
1,195,ヌオー
1,196,エーフィ
1,197,ブラッキー
1,198,ヤミカラス
1,199,ヤドキング
1,200,ムウマ
1,201,アンノーン (A)
1,202,ソーナンス
1,203,キリンリキ
1,204,クヌギダマ
1,205,フォレトス
1,206,ノコッチ
1,207,グライガー
1,208,ハガネール
1,209,ブルー
1,210,グランブル
1,211,ハリーセン
1,212,ハッサム
1,213,ツボツボ
