version_group_id,move_id,flag_id
7,1,1
7,1,3
7,1,4
7,1,7
7,2,1
7,2,3
7,2,4
7,2,7
7,3,1
7,3,3
7,3,4
7,3,7
7,4,1
7,4,3
7,4,4
7,4,7
7,5,1
7,5,3
7,5,4
7,5,7
7,6,1
7,6,4
7,6,7
7,7,3
7,7,4
7,7,7
7,8,3
7,8,4
7,8,7
7,9,3
7,9,4
7,9,7
7,10,1
7,10,3
7,10,4
7,10,7
7,11,1
7,11,3
7,11,4
7,11,7
7,12,3
7,12,4
7,12,7
7,13,1
7,13,4
7,13,7
7,14,6
7,15,1
7,15,3
7,15,4
7,15,7
7,16,1
7,16,4
7,16,7
7,17,1
7,17,3
7,17,4
7,17,7
7,18,4
7,18,7
7,19,1
7,19,3
7,19,4
7,19,7
7,20,1
7,20,3
7,20,4
7,20,7
7,21,1
7,21,3
7,21,4
7,21,7
7,22,1
7,22,3
7,22,4
7,22,7
7,23,3
7,23,4
7,23,7
7,24,1
7,24,3
7,24,4
7,24,7
7,25,1
7,25,3
7,25,4
7,25,7
7,26,1
7,26,3
7,26,4
7,26,7
7,27,1
7,27,3
7,27,4
7,27,7
7,28,4
7,28,5
7,28,7
7,29,3
7,29,4
7,29,7
7,30,1
7,30,3
7,30,4
7,30,7
7,31,1
7,31,3
7,31,4
7,31,7
7,32,3
7,32,4
7,32,7
7,33,1
7,33,3
7,33,4
7,33,7
7,34,3
7,34,4
7,34,7
7,35,1
7,35,3
7,35,4
7,35,7
7,36,1
7,36,3
7,36,4
7,36,7
7,37,1
7,37,3
7,37,4
7,37,7
7,38,1
7,38,3
7,38,4
7,38,7
7,39,4
7,39,5
7,39,7
7,40,4
7,40,7
7,41,4
7,41,7
7,42,1
7,42,4
7,42,7
7,43,4
7,43,5
7,43,7
7,44,3
7,44,4
7,44,7
7,45,4
7,45,5
7,45,7
7,46,4
7,46,7
7,47,4
7,47,5
7,47,7
7,48,4
7,48,5
7,48,7
7,49,1
7,49,4
7,49,7
7,50,4
7,50,7
7,51,4
7,51,7
7,52,4
7,52,7
7,53,4
7,53,7
7,54,6
7,55,1
7,55,4
7,55,7
7,56,1
7,56,4
7,56,7
7,57,1
7,57,4
7,57,7
7,58,4
7,58,7
7,59,4
7,59,7
7,60,4
7,60,7
7,61,4
7,61,7
7,62,4
7,62,7
7,63,1
7,63,4
7,63,7
7,64,1
7,64,3
7,64,4
7,64,7
7,65,1
7,65,3
7,65,4
7,65,7
7,66,1
7,66,3
7,66,4
7,66,7
7,67,1
7,67,3
7,67,4
7,67,7
7,68,3
7,68,7
7,69,1
7,69,3
7,69,4
7,69,7
7,70,1
7,70,3
7,70,4
7,70,7
7,71,4
7,71,7
7,72,4
7,72,7
7,73,4
7,73,5
7,73,7
7,74,6
7,75,1
7,75,4
7,75,7
7,76,1
7,76,4
7,76,7
7,77,4
7,77,5
7,77,7
7,78,4
7,78,5
7,78,7
7,79,4
7,79,5
7,79,7
7,80,1
7,80,3
7,80,4
7,80,7
7,81,4
7,81,5
7,81,7
7,82,1
7,82,4
7,82,7
7,83,1
7,83,4
7,83,7
7,84,4
7,84,7
7,85,4
7,85,7
7,86,4
7,86,5
7,86,7
7,87,4
7,87,7
7,88,1
7,88,4
7,88,7
7,89,1
7,89,4
7,89,7
7,90,4
7,90,7
7,91,1
7,91,3
7,91,4
7,91,7
7,92,4
7,92,5
7,92,7
7,93,4
7,93,7
7,94,4
7,94,7
7,95,4
7,95,5
7,95,7
7,96,6
7,97,6
7,98,1
7,98,3
7,98,4
7,98,7
7,99,1
7,99,3
7,99,4
7,99,7
7,101,1
7,101,4
7,101,7
7,102,4
7,103,4
7,103,5
7,103,7
7,104,6
7,105,6
7,106,6
7,107,6
7,108,4
7,108,5
7,108,7
7,109,4
7,109,5
7,109,7
7,110,6
7,111,6
7,112,6
7,113,6
7,114,4
7,115,6
7,116,6
7,117,1
7,117,3
7,117,4
7,120,1
7,120,4
7,120,7
