language_id,move_id,image
1,622,jpn/breakneck-blitz.png
1,623,jpn/breakneck-blitz.png
1,624,jpn/all-out-pummeling.png
1,625,jpn/all-out-pummeling.png
1,626,jpn/supersonic-skystrike.png
1,627,jpn/supersonic-skystrike.png
1,628,jpn/acid-downpour.png
1,629,jpn/acid-downpour.png
1,630,jpn/tectonic-rage.png
1,631,jpn/tectonic-rage.png
1,632,jpn/continental-crush.png
1,633,jpn/continental-crush.png
1,634,jpn/savage-spin-out.png
1,635,jpn/savage-spin-out.png
1,636,jpn/never-ending-nightmare.png
1,637,jpn/never-ending-nightmare.png
1,638,jpn/corkscrew-crash.png
1,639,jpn/corkscrew-crash.png
1,640,jpn/inferno-overdrive.png
1,641,jpn/inferno-overdrive.png
1,642,jpn/hydro-vortex.png
1,643,jpn/hydro-vortex.png
1,644,jpn/bloom-doom.png
1,645,jpn/bloom-doom.png
1,646,jpn/gigavolt-havoc.png
1,647,jpn/gigavolt-havoc.png
1,648,jpn/shattered-psyche.png
1,649,jpn/shattered-psyche.png
1,650,jpn/subzero-slammer.png
1,651,jpn/subzero-slammer.png
1,652,jpn/devastating-drake.png
1,653,jpn/devastating-drake.png
1,654,jpn/black-hole-eclipse.png
1,655,jpn/black-hole-eclipse.png
1,656,jpn/twinkle-tackle.png
1,657,jpn/twinkle-tackle.png
1,658,jpn/catastropika.png
1,695,jpn/sinister-arrow-raid.png
1,696,jpn/malicious-moonsault.png
1,697,jpn/oceanic-operetta.png
1,698,jpn/guardian-of-alola.png
1,699,jpn/soul-stealing-7-star-strike.png
1,700,jpn/stoked-sparksurfer.png
1,701,jpn/pulverizing-pancake.png
1,702,jpn/extreme-evoboost.png
1,703,jpn/genesis-supernova.png
1,719,jpn/10-000-000-volt-thunderbolt.png
1,723,jpn/light-that-burns-the-sky.png
1,724,jpn/searing-sunraze-smash.png
1,725,jpn/menacing-moonraze-maelstrom.png
1,726,jpn/lets-snuggle-forever.png
1,727,jpn/splintered-stormshards.png
1,728,jpn/clangorous-soulblaze.png
2,622,eng/breakneck-blitz.png
2,623,eng/breakneck-blitz.png
2,624,eng/all-out-pummeling.png
2,625,eng/all-out-pummeling.png
2,626,eng/supersonic-skystrike.png
2,627,eng/supersonic-skystrike.png
2,628,eng/acid-downpour.png
2,629,eng/acid-downpour.png
2,630,eng/tectonic-rage.png
2,631,eng/tectonic-rage.png
2,632,eng/continental-crush.png
2,633,eng/continental-crush.png
2,634,eng/savage-spin-out.png
2,635,eng/savage-spin-out.png
2,636,eng/never-ending-nightmare.png
2,637,eng/never-ending-nightmare.png
2,638,eng/corkscrew-crash.png
2,639,eng/corkscrew-crash.png
2,640,eng/inferno-overdrive.png
2,641,eng/inferno-overdrive.png
2,642,eng/hydro-vortex.png
2,643,eng/hydro-vortex.png
2,644,eng/bloom-doom.png
2,645,eng/bloom-doom.png
2,646,eng/gigavolt-havoc.png
2,647,eng/gigavolt-havoc.png
2,648,eng/shattered-psyche.png
2,649,eng/shattered-psyche.png
2,650,eng/subzero-slammer.png
2,651,eng/subzero-slammer.png
2,652,eng/devastating-drake.png
2,653,eng/devastating-drake.png
2,654,eng/black-hole-eclipse.png
2,655,eng/black-hole-eclipse.png
2,656,eng/twinkle-tackle.png
