version_group_id,ability_id,flag_id
23,1,1
23,2,1
23,3,1
23,4,1
23,4,8
23,5,1
23,5,8
23,6,1
23,6,8
23,7,1
23,7,8
23,8,1
23,8,8
23,9,1
23,10,1
23,10,8
23,11,1
23,11,8
23,12,1
23,12,8
23,13,1
23,14,1
23,15,1
23,15,8
23,16,1
23,17,1
23,17,8
23,18,1
23,18,8
23,19,1
23,19,8
23,20,1
23,20,8
23,21,1
23,21,8
23,22,1
23,23,1
23,24,1
23,25,1
23,25,2
23,25,3
23,25,4
23,25,6
23,25,8
23,26,1
23,26,8
23,27,1
23,28,1
23,29,1
23,29,8
23,30,1
23,31,1
23,31,8
23,32,1
23,33,1
23,34,1
23,35,1
23,35,8
23,36,1
23,36,2
23,36,3
23,36,4
23,36,5
23,37,1
23,38,1
23,39,1
23,39,8
23,40,1
23,40,8
23,41,1
23,41,8
23,42,1
23,43,1
23,43,8
23,44,1
23,45,1
23,46,1
23,47,1
23,47,8
23,48,1
23,49,1
23,50,1
23,51,1
23,51,8
23,52,1
23,52,8
23,53,1
23,54,1
23,55,1
23,56,1
23,57,1
23,58,1
23,59,1
23,59,2
23,59,3
23,59,4
23,59,5
23,60,1
23,60,8
23,61,1
23,62,1
23,63,1
23,63,8
23,64,1
23,65,1
23,66,1
23,67,1
23,68,1
23,69,1
23,70,1
23,71,1
23,72,1
23,72,8
23,73,1
23,73,8
23,74,1
23,75,1
23,75,8
23,76,1
23,77,1
23,77,8
23,78,1
23,78,8
23,79,1
23,80,1
23,81,1
23,81,8
23,82,1
23,83,1
23,84,1
23,85,1
23,85,8
23,86,1
23,86,8
23,87,1
23,87,8
23,88,1
23,89,1
23,90,1
23,91,1
23,92,1
23,93,1
23,94,1
23,95,1
23,96,1
23,97,1
23,98,1
23,99,1
23,100,1
23,101,1
23,102,1
23,102,8
23,103,1
23,104,1
23,105,1
23,106,1
23,107,1
23,108,1
23,109,1
23,109,8
23,110,1
23,111,1
23,111,8
23,112,1
23,113,1
23,114,1
23,114,8
23,115,1
23,116,1
23,116,8
23,117,1
23,118,1
23,119,1
23,120,1
23,121,1
23,121,2
23,121,3
23,121,4
23,121,5
23,121,6
23,121,7
23,122,1
23,122,2
23,122,3
23,122,4
23,122,5
23,122,8
23,123,1
23,124,1
23,125,1
23,126,1
23,126,8
23,127,1
23,128,1
23,129,1
23,130,1
23,131,1
23,132,1
23,132,8
23,133,1
23,134,1
23,134,8
23,135,1
23,135,8
23,136,1
23,136,8
23,137,1
23,138,1
23,139,1
23,140,1
23,140,8
23,141,1
23,142,1
23,142,8
23,143,1
23,144,1
23,145,1
23,145,8
23,146,1
23,147,1
23,147,8
23,148,1
23,149,1
23,149,2
23,149,3
23,149,4
23,149,5
23,149,6
23,150,1
23,150,2
23,150,3
23,150,4
23,150,5
23,151,1
23,152,1
23,153,1
23,154,1
23,155,1
23,156,1
23,156,8
23,157,1
23,157,8
23,158,1
23,159,1
23,160,1
23,161,1
23,161,2
23,161,3
23,161,4
23,161,5
23,161,6
23,161,7
23,162,1
23,163,1
23,164,1
23,165,1
23,165,8
23,166,1
23,166,8
23,167,1
23,168,1
23,169,1
23,169,8
23,170,1
23,171,1
23,171,8
23,172,1
23,173,1
23,174,1
23,175,1
23,175,8
23,176,1
23,176,2
23,176,3
23,176,4
23,176,5
23,176,6
23,176,7
23,177,1
23,178,1
23,179,1
23,179,8
23,180,1
23,181,1
23,182,1
23,183,1
23,184,1
23,185,1
23,186,1
23,187,1
23,188,1
23,188,8
23,189,1
23,190,1
23,191,1
23,192,1
23,193,1
23,194,1
23,195,1
23,196,1
23,197,1
23,197,2
23,197,3
23,197,4
23,197,5
23,197,6
23,197,7
23,198,1
23,199,1
23,199,8
23,200,1
23,201,1
23,202,1
23,203,1
23,204,1
23,205,1
23,206,1
23,207,1
23,208,1
23,208,2
23,208,3
23,208,4
23,208,5
23,208,6
23,208,7
23,209,1
23,209,2
23,209,3
23,209,4
23,209,5
23,209,6
23,209,7
23,209,8
23,209,9
23,210,1
23,210,2
23,210,3
23,210,4
23,210,5
23,210,6
23,210,7
23,211,1
23,211,2
23,211,3
23,211,4
23,211,5
23,211,6
23,211,7
23,212,1
23,213,1
23,213,2
23,213,3
23,213,4
23,213,5
23,213,6
23,213,7
23,214,1
23,214,8
23,215,1
23,216,1
23,217,1
23,218,1
23,218,8
23,219,1
23,219,8
23,220,1
23,221,1
23,222,1
23,222,2
23,222,3
23,222,4
23,222,5
23,223,1
23,223,2
23,223,3
23,223,4
23,223,5
23,224,1
23,225,1
23,225,2
23,225,3
23,225,4
23,225,5
23,225,6
23,225,7
23,226,1
23,227,1
23,228,1
23,229,1
23,230,1
23,231,1
23,232,1
23,233,1
23,234,1
23,235,1
23,236,1
23,237,1
23,238,1
23,239,1
23,240,1
23,240,8
23,241,1
23,241,7
23,241,9
23,242,1
23,243,1
23,244,1
23,244,8
23,245,1
23,246,1
23,246,8
23,247,1
23,248,1
23,248,2
23,248,3
23,248,4
23,248,5
23,248,6
23,248,7
23,248,8
23,248,9
23,249,1
23,250,1
23,251,1
23,252,1
23,253,1
23,254,1
23,255,1
23,256,2
23,256,3
23,256,4
23,256,5
23,256,6
23,256,9
23,257,1
23,257,8
23,258,1
23,258,2
23,258,3
23,258,4
23,258,5
23,258,6
23,258,9
23,259,1
23,260,1
23,261,1
23,262,1
23,263,1
23,264,1
23,265,1
23,266,1
23,266,2
23,266,3
23,266,4
23,266,5
23,266,6
23,266,7
23,267,1
23,267,2
23,267,3
23,267,4
23,267,5
23,267,6
23,267,7
23,268,1
23,269,1
23,270,1
23,270,8
23,271,1
23,272,1
23,272,8
23,273,1
23,273,8
23,274,1
23,274,8
23,275,1
23,275,8
23,276,1
23,277,1
23,278,1
23,278,2
23,278,3
23,278,4
23,278,5
23,278,6
23,278,7
23,278,9
23,279,1
23,279,2
23,279,3
23,279,4
23,279,5
23,279,6
23,280,1
23,281,1
23,281,2
23,281,3
23,281,4
23,281,5
23,281,6
23,281,9
23,282,1
23,282,2
23,282,3
23,282,4
23,282,5
23,282,6
23,282,9
23,283,1
23,283,8
23,284,1
23,284,8
23,285,1
23,285,8
23,286,1
23,286,8
23,287,1
23,287,8
23,288,1
23,289,1
23,290,1
23,291,1
23,292,1
23,293,1
23,294,1
23,295,1
23,296,1
23,296,8
23,297,1
23,297,8
23,298,1
23,299,1
23,300,1
23,300,8
23,301,1
23,301,2
23,301,3
23,301,4
23,301,5
23,301,6
23,301,9
23,302,1
23,302,2
23,302,3
23,302,4
23,302,5
23,302,6
23,302,9
23,303,1
23,303,2
23,303,3
23,303,4
23,303,5
23,303,6
23,303,9
23,304,1
23,304,2
23,304,3
23,304,4
23,304,5
23,304,6
23,304,9
23,305,1
23,306,1
23,307,1
23,307,2
23,307,3
23,307,4
23,307,5
23,307,6
23,307,7
23,307,9
23,308,1
23,308,2
23,308,3
23,308,4
23,308,5
23,308,6
23,308,8
23,309,1
23,309,2
23,309,3
23,309,4
23,309,5
23,309,6
23,310,1
23,310,2
23,310,3
23,310,4
23,310,5
23,310,6
