version_group_id,language_id,move_id,name,description
10,1,1,はたく,ながい　しっぽや\nてなどを　つかって\nあいてを　はたいて\nこうげきする。\n
10,1,2,からてチョップ,するどい　チョップで\nあいてを　たたいて\nこうげきする。\nきゅうしょに　あたる\nかくりつが　たかい。
10,1,3,おうふくビンタ,おうふく　ビンタで\nあいてを　たたいて\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
10,1,4,れんぞくパンチ,どとうの　パンチで\nあいてを　なぐりつけて\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
10,1,5,メガトンパンチ,ちからを　こめた\nパンチで　あいてを\nこうげきする。\n\n
10,1,6,ネコにこばん,あいての　からだに\nこばんを　なげつけて\nこうげきする。\nせんとうの　あとで\nおかねが　もらえる。
10,1,7,ほのおのパンチ,ほのおを　こめた\nパンチで　あいてを\nこうげきする。\nやけど　じょうたいに\nすることが　ある。
10,1,8,れいとうパンチ,れいきを　こめた\nパンチで　あいてを\nこうげきする。\nこおり　じょうたいに\nすることが　ある。
10,1,9,かみなりパンチ,でんげきを　こめた\nパンチで　あいてを\nこうげきする。\nまひ　じょうたいに\nすることが　ある。
10,1,10,ひっかく,かたく　とがった\nするどい　ツメで\nあいてを　ひっかいて\nこうげきする。\n
10,1,11,はさむ,おおきく　りっぱな\nハサミを　つかって\nあいてを　はさんで\nこうげきする。\n
10,1,12,ハサミギロチン,おおきな　ハサミで\nあいてを　きりさいて\nこうげきする。\nあたれば　いちげきで\nひんしに　する。
10,1,13,かまいたち,かぜの　やいばを\nつくり　２ターンめに\nこうげきする。\nきゅうしょに　あたる\nかくりつが　たかい。
10,1,14,つるぎのまい,たたかいのまいを\nはげしく　おどって\nきあいを　たかめる。\nじぶんの　こうげきを\nぐーんと　あげる。
10,1,15,いあいぎり,カマや　ツメなどで\nあいてを　きりつけて\nこうげきする。\nほそいき　なども\nきることも　できる。
10,1,16,かぜおこし,つばさで　おこした\nはげしい　かぜを\nあいてに　ぶつけて\nこうげきする。\n
10,1,17,つばさでうつ,おおきく　ひろげた\nりっぱな　つばさを\nあいてに　ぶつけて\nこうげきする。\n
10,1,18,ふきとばし,あいてを　ふきとばして\nひかえの　ポケモンを\nひきずりだす。\nやせいの　ばあいは\nせんとうが　おわる。
10,1,19,そらをとぶ,１ターンめで　そらへ\nとび　２ターンめに\nこうげきする。\nしっている　まちに\nとぶことも　できる。
10,1,20,しめつける,ながい　からだや\nつるなどを　つかい\n２ー５ターンの　あいだ\nあいてを　しめつけて\nこうげきする。
10,1,21,たたきつける,ながい　しっぽや\nつるなどを　つかい\nあいてを　たたきつけて\nこうげきする。\n
10,1,22,つるのムチ,ムチのように　しなる\x0001\nほそながい　つるで\nあいてを　たたきつけて\nこうげきする。\n
10,1,23,ふみつけ,おおきな　あしで\nあいてを　ふみつけて\nこうげきする。\nあいてを　ひるませる\nことが　ある。
10,1,24,にどげり,２ほんの　あしで\nあいてを　けとばして\nこうげきする。\n２かい　れんぞくで\nダメージを　あたえる。
10,1,25,メガトンキック,ものすごい　ちからを\nこめた　キックで\nあいてを　けとばして\nこうげきする。\n
10,1,26,とびげり,たかい　ジャンプからの\nキックで　あいてを\nこうげきする。\nはずすと　じぶんが\nダメージを　うける。
10,1,27,まわしげり,からだを　すばやく\nかいてん　させながら\nあいてを　けとばして\nこうげきする。\n
10,1,28,すなかけ,あいての　かおに\nすなを　かけて\x0001\nめいちゅうりつを\x0001\nさげる。\n
10,1,29,ずつき,あたまを　つきだして\nまっすぐ　つっこんで\nこうげきする。\nあいてを　ひるませる\nことが　ある。
10,1,30,つのでつく,するどく　とがった\nつので　あいてを\nこうげきする。\n\n
10,1,31,みだれづき,つのや　くちばしで\nあいてを　つついて\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
10,1,32,つのドリル,かいてんする　つのを\nあいてに　つきさして\nこうげきする。\nあたれば　いちげきで\nひんしに　する。
10,1,33,たいあたり,あいてに　むかって\nからだ　ぜんたいで\nぶつかっていき\nこうげきする。\n
10,1,34,のしかかり,からだ　ぜんたいで\nあいてに　のしかかり\nこうげきする。\nまひ　じょうたいに\nすることが　ある。
10,1,35,まきつく,ながい　からだや\nつるなどを　つかって\n２ー５ターンの　あいだ\nあいてに　まきついて\nこうげきする。
10,1,36,とっしん,すごい　いきおいで\nあいてに　ぶつかって\nこうげきする。\nじぶんも　すこし\nダメージを　うける。
10,1,37,あばれる,２ー３ターンの　あいだ\nあばれまくって\nこうげきする。\nあばれた　あとは\nこんらん　する。
10,1,38,すてみタックル,いのちを　かけて\nあいてに　とっしん\nこうげきする。\nじぶんも　かなり\nダメージを　うける。
10,1,39,しっぽをふる,しっぽを　さゆうに\nかわいく　ふって\nゆだんを　さそう。\nあいての　ぼうぎょを\nさげる。
10,1,40,どくばり,どくの　ある　ハリを\nあいてに　つきさして\nこうげきする。\nどく　じょうたいに\nすることが　ある。
10,1,41,ダブルニードル,２ほんの　ハリを\nあいてに　つきさして\nこうげきする。\n２かい　れんぞくで\nこうげきする。
10,1,42,ミサイルばり,するどい　ハリを\nあいてに　はっしゃして\nこうげきする。\n２ー５かいの　あいだ\nれんぞくで　だす。
10,1,43,にらみつける,するどい　めつきで\nおびえさせて　あいての\nぼうぎょを　さげる。\n\n
10,1,44,かみつく,するどく　とがった\nはで　かみついて\nこうげきする。\nあいてを　ひるませる\nことが　ある。
10,1,45,なきごえ,かわいい　なきごえを\nきかせて　きを　ひき\nゆだんを　させて\nあいての　こうげきを\nさげる。
10,1,46,ほえる,あいてを　にがして\nひかえの　ポケモンを\nひきずりだす。\nやせいの　ばあいは\nせんとうが　おわる。
10,1,47,うたう,ここちよい　きれいな\nうたごえを　きかせて\nあいてを　ねむりの\nじょうたいに　する。\n
10,1,48,ちょうおんぱ,とくしゅな　おんぱを\nからだから　はっして\nあいてを　こんらんの\nじょうたいに　する。\n
10,1,49,ソニックブーム,しょうげきはを\nあいてに　ぶつけて\nこうげきする。\n２０の　ダメージを\nきまって　あたえる。
10,1,50,かなしばり,あいての　うごきを\nとめて　ちょくぜんに\nだしていた　わざを\nしばらくの　あいだ\nつかえなく　する。
10,1,51,ようかいえき,つよい　さんを\nあいてに　かけて\nこうげきする。\nあいての　とくぼうを\nさげることが　ある。
10,1,52,ひのこ,ちいさな　ほのおを\nあいてに　はっしゃして\nこうげきする。\nやけど　じょうたいに\nすることが　ある。
