generation_id,item_id,icon
3,1,ball/master.png
3,2,ball/ultra.png
3,3,ball/great.png
3,4,ball/poke.png
3,5,ball/safari.png
3,6,ball/net.png
3,7,ball/dive.png
3,8,ball/nest.png
3,9,ball/repeat.png
3,10,ball/timer.png
3,11,ball/luxury.png
3,12,ball/premier.png
3,17,medicine/potion.png
3,18,medicine/antidote.png
3,19,medicine/burn-heal.png
3,20,medicine/ice-heal.png
3,21,medicine/awakening.png
3,22,medicine/paralyze-heal.png
3,23,medicine/full-restore.png
3,24,medicine/max-potion.png
3,25,medicine/hyper-potion.png
3,26,medicine/super-potion.png
3,27,medicine/full-heal.png
3,28,medicine/revive.png
3,29,medicine/max-revive.png
3,30,medicine/fresh-water.png
3,31,medicine/soda-pop.png
3,32,medicine/lemonade.png
3,33,medicine/moomoo-milk.png
3,34,medicine/energy-powder.png
3,35,medicine/energy-root.png
3,36,medicine/heal-powder.png
3,37,medicine/revival-herb.png
3,38,medicine/ether.png
3,39,medicine/max-ether.png
3,40,medicine/elixir.png
3,41,medicine/max-elixir.png
3,42,medicine/lava-cookie.png
3,43,medicine/berry-juice.png
3,44,medicine/sacred-ash.png
3,45,medicine/hp-up.png
3,46,medicine/protein.png
3,47,medicine/iron.png
3,48,medicine/carbos.png
3,49,medicine/calcium.png
3,50,medicine/rare-candy.png
3,51,medicine/pp-up.png
3,52,medicine/zinc.png
3,53,medicine/pp-max.png
3,55,battle-item/guard-spec.png
3,56,battle-item/dire-hit.png
3,57,battle-item/x-attack.png
3,58,battle-item/x-defense.png
3,59,battle-item/x-speed.png
3,60,battle-item/x-accuracy.png
3,61,battle-item/x-sp-atk.png
3,63,other-item/poke-doll.png
3,64,other-item/fluffy-tail.png
3,65,flute/blue.png
3,66,flute/yellow.png
3,67,flute/red.png
3,68,flute/black.png
3,69,flute/white.png
3,70,valuable-item/shoal-salt.png
3,71,valuable-item/shoal-shell.png
3,72,shard/red.png
3,73,shard/blue.png
3,74,shard/yellow.png
3,75,shard/green.png
3,76,other-item/super-repel.png
3,77,other-item/max-repel.png
