version_group_id,pokemon_id,item_id
7,298000,254
7,360000,255
9,298000,254
9,360000,255
10,298000,254
10,360000,255
12,298000,254
12,360000,255
12,406000,318
12,433000,320
12,438000,315
12,439000,314
12,440000,319
12,446000,316
12,458000,317
13,298000,254
13,360000,255
13,406000,318
13,433000,320
13,438000,315
13,439000,314
13,440000,319
13,446000,316
13,458000,317
14,298000,254
14,360000,255
14,406000,318
14,433000,320
14,438000,315
14,439000,314
14,440000,319
14,446000,316
14,458000,317
15,298000,254
15,360000,255
15,406000,318
15,433000,320
15,438000,315
15,439000,314
15,440000,319
15,446000,316
15,458000,317
16,298000,254
16,360000,255
16,406000,318
16,433000,320
16,438000,315
16,439000,314
16,440000,319
16,446000,316
16,458000,317
17,298000,254
17,360000,255
17,406000,318
17,433000,320
17,438000,315
17,439000,314
17,440000,319
17,446000,316
17,458000,317
18,298000,254
18,360000,255
18,406000,318
18,433000,320
18,438000,315
18,439000,314
18,440000,319
18,446000,316
18,458000,317
19,298000,254
19,360000,255
19,406000,318
19,433000,320
19,438000,315
19,439000,314
19,440000,319
19,446000,316
19,458000,317
20,298000,254
20,360000,255
20,406000,318
20,433000,320
20,438000,315
20,439000,314
20,440000,319
20,446000,316
20,458000,317
22,298000,254
22,360000,255
22,406000,318
22,438000,315
22,439000,314
22,440000,319
22,446000,316
22,458000,317
23,298000,254
23,360000,255
23,406000,318
23,433000,320
23,438000,315
23,439000,314
23,440000,319
23,446000,316
23,458000,317
