version_group_id,pokemon_id,icon,sprite,type1_id,type2_id,ability1_id,ability2_id,ability3_id,base_hp,base_atk,base_def,base_spa,base_spd,base_spe,base_spc,egg_group1_id,egg_group2_id,base_experience,ev_hp,ev_atk,ev_def,ev_spa,ev_spd,ev_spe,catch_rate,base_friendship
1,1,rb/plant.gif,xy/bulbasaur.gif,11,3,\N,\N,\N,45,49,49,0,0,45,65,\N,\N,64,0,0,0,0,0,0,45,0
1,2,rb/plant.gif,xy/ivysaur.gif,11,3,\N,\N,\N,60,62,63,0,0,60,80,\N,\N,141,0,0,0,0,0,0,45,0
1,3,rb/plant.gif,xy/venusaur-male.gif,11,3,\N,\N,\N,80,82,83,0,0,80,100,\N,\N,208,0,0,0,0,0,0,45,0
1,4,rb/biped.gif,xy/charmander.gif,9,\N,\N,\N,\N,39,52,43,0,0,65,50,\N,\N,65,0,0,0,0,0,0,45,0
1,5,rb/biped.gif,xy/charmeleon.gif,9,\N,\N,\N,\N,58,64,58,0,0,80,65,\N,\N,142,0,0,0,0,0,0,45,0
1,6,rb/biped.gif,xy/charizard.gif,9,2,\N,\N,\N,78,84,78,0,0,100,85,\N,\N,209,0,0,0,0,0,0,45,0
1,7,rb/water.gif,xy/squirtle.gif,10,\N,\N,\N,\N,44,48,65,0,0,43,50,\N,\N,66,0,0,0,0,0,0,45,0
1,8,rb/water.gif,xy/wartortle.gif,10,\N,\N,\N,\N,59,63,80,0,0,58,65,\N,\N,143,0,0,0,0,0,0,45,0
1,9,rb/water.gif,xy/blastoise.gif,10,\N,\N,\N,\N,79,83,100,0,0,78,85,\N,\N,210,0,0,0,0,0,0,45,0
1,10,rb/insect.gif,xy/caterpie.gif,6,\N,\N,\N,\N,45,30,35,0,0,45,20,\N,\N,53,0,0,0,0,0,0,255,0
1,11,rb/insect.gif,xy/metapod.gif,6,\N,\N,\N,\N,50,20,55,0,0,30,25,\N,\N,72,0,0,0,0,0,0,120,0
1,12,rb/insect.gif,xy/butterfree-male.gif,6,2,\N,\N,\N,60,45,50,0,0,70,80,\N,\N,160,0,0,0,0,0,0,45,0
1,13,rb/insect.gif,xy/weedle.gif,6,3,\N,\N,\N,40,35,30,0,0,50,20,\N,\N,52,0,0,0,0,0,0,255,0
1,14,rb/insect.gif,xy/kakuna.gif,6,3,\N,\N,\N,45,25,50,0,0,35,25,\N,\N,71,0,0,0,0,0,0,120,0
1,15,rb/insect.gif,xy/beedrill.gif,6,3,\N,\N,\N,65,80,40,0,0,75,45,\N,\N,159,0,0,0,0,0,0,45,0
1,16,rb/bird.gif,xy/pidgey.gif,0,2,\N,\N,\N,40,45,40,0,0,56,35,\N,\N,55,0,0,0,0,0,0,255,0
1,17,rb/bird.gif,xy/pidgeotto.gif,0,2,\N,\N,\N,63,60,55,0,0,71,50,\N,\N,113,0,0,0,0,0,0,120,0
1,18,rb/bird.gif,xy/pidgeot.gif,0,2,\N,\N,\N,83,80,75,0,0,91,70,\N,\N,172,0,0,0,0,0,0,45,0
1,19,rb/quadruped.gif,xy/rattata-male.gif,0,\N,\N,\N,\N,30,56,35,0,0,72,25,\N,\N,57,0,0,0,0,0,0,255,0
1,20,rb/quadruped.gif,xy/raticate-male.gif,0,\N,\N,\N,\N,55,81,60,0,0,97,50,\N,\N,116,0,0,0,0,0,0,90,0
1,21,rb/bird.gif,xy/spearow.gif,0,2,\N,\N,\N,40,60,30,0,0,70,31,\N,\N,58,0,0,0,0,0,0,255,0
1,22,rb/bird.gif,xy/fearow.gif,0,2,\N,\N,\N,65,90,65,0,0,100,61,\N,\N,162,0,0,0,0,0,0,90,0
1,23,rb/snake.gif,xy/ekans.gif,3,\N,\N,\N,\N,35,60,44,0,0,55,40,\N,\N,62,0,0,0,0,0,0,255,0
1,24,rb/snake.gif,xy/arbok.gif,3,\N,\N,\N,\N,60,85,69,0,0,80,65,\N,\N,147,0,0,0,0,0,0,90,0
1,25,rb/fairy.gif,xy/pikachu-male.gif,12,\N,\N,\N,\N,35,55,30,0,0,90,50,\N,\N,82,0,0,0,0,0,0,190,0
1,26,rb/fairy.gif,xy/raichu-male.gif,12,\N,\N,\N,\N,60,90,55,0,0,100,90,\N,\N,122,0,0,0,0,0,0,75,0
1,27,rb/biped.gif,xy/sandshrew.gif,4,\N,\N,\N,\N,50,75,85,0,0,40,30,\N,\N,93,0,0,0,0,0,0,255,0
1,28,rb/biped.gif,xy/sandslash.gif,4,\N,\N,\N,\N,75,100,110,0,0,65,55,\N,\N,163,0,0,0,0,0,0,90,0
1,29,rb/biped.gif,xy/nidoran-f.gif,3,\N,\N,\N,\N,55,47,52,0,0,41,40,\N,\N,59,0,0,0,0,0,0,235,0
1,30,rb/biped.gif,xy/nidorina.gif,3,\N,\N,\N,\N,70,62,67,0,0,56,55,\N,\N,117,0,0,0,0,0,0,120,0
1,31,rb/biped.gif,xy/nidoqueen.gif,3,4,\N,\N,\N,90,82,87,0,0,76,75,\N,\N,194,0,0,0,0,0,0,45,0
1,32,rb/biped.gif,xy/nidoran-m.gif,3,\N,\N,\N,\N,46,57,40,0,0,50,40,\N,\N,60,0,0,0,0,0,0,235,0
1,33,rb/biped.gif,xy/nidorino.gif,3,\N,\N,\N,\N,61,72,57,0,0,65,55,\N,\N,118,0,0,0,0,0,0,120,0
1,34,rb/biped.gif,xy/nidoking.gif,3,4,\N,\N,\N,81,92,77,0,0,85,75,\N,\N,195,0,0,0,0,0,0,45,0
1,35,rb/fairy.gif,xy/clefairy.gif,0,\N,\N,\N,\N,70,45,48,0,0,35,60,\N,\N,68,0,0,0,0,0,0,150,0
1,36,rb/fairy.gif,xy/clefable.gif,0,\N,\N,\N,\N,95,70,73,0,0,60,85,\N,\N,129,0,0,0,0,0,0,25,0
1,37,rb/quadruped.gif,xy/vulpix.gif,9,\N,\N,\N,\N,38,41,40,0,0,65,65,\N,\N,63,0,0,0,0,0,0,190,0
1,38,rb/quadruped.gif,xy/ninetales.gif,9,\N,\N,\N,\N,73,76,75,0,0,100,100,\N,\N,178,0,0,0,0,0,0,75,0
1,39,rb/fairy.gif,xy/jigglypuff.gif,0,\N,\N,\N,\N,115,45,20,0,0,20,25,\N,\N,76,0,0,0,0,0,0,170,0
1,40,rb/fairy.gif,xy/wigglytuff.gif,0,\N,\N,\N,\N,140,70,45,0,0,45,50,\N,\N,109,0,0,0,0,0,0,50,0
1,41,rb/biped.gif,xy/zubat-male.gif,3,2,\N,\N,\N,40,45,35,0,0,55,40,\N,\N,54,0,0,0,0,0,0,255,0
1,42,rb/biped.gif,xy/golbat-male.gif,3,2,\N,\N,\N,75,80,70,0,0,90,75,\N,\N,171,0,0,0,0,0,0,90,0
1,43,rb/plant.gif,xy/oddish.gif,11,3,\N,\N,\N,45,50,55,0,0,30,75,\N,\N,78,0,0,0,0,0,0,255,0
1,44,rb/plant.gif,xy/gloom-male.gif,11,3,\N,\N,\N,60,65,70,0,0,40,85,\N,\N,132,0,0,0,0,0,0,120,0
1,45,rb/plant.gif,xy/vileplume-male.gif,11,3,\N,\N,\N,75,80,85,0,0,50,100,\N,\N,184,0,0,0,0,0,0,45,0
1,46,rb/insect.gif,xy/paras.gif,6,11,\N,\N,\N,35,70,55,0,0,25,55,\N,\N,70,0,0,0,0,0,0,190,0
1,47,rb/insect.gif,xy/parasect.gif,6,11,\N,\N,\N,60,95,80,0,0,30,80,\N,\N,128,0,0,0,0,0,0,75,0
1,48,rb/insect.gif,xy/venonat.gif,6,3,\N,\N,\N,60,55,50,0,0,45,40,\N,\N,75,0,0,0,0,0,0,190,0
