version_group_id,language_id,item_id,name,description
15,1,0,なし,？？？
15,1,1,マスターボール,やせいの　ポケモンを　かならず\nつかまえることが　できる\nさいこう　せいのうの　ボール。
15,1,2,ハイパーボール,スーパーボールよりも　さらに\nポケモンを　つかまえやすくなった\nすごく　せいのうのいい　ボール。
15,1,3,スーパーボール,モンスターボールよりも　さらに\nポケモンを　つかまえやすくなった\nすこし　せいのうのいい　ボール。
15,1,4,モンスターボール,やせいの　ポケモンに　なげて\nつかまえる　ための　ボール。\nカプセルしきに　なっている。
15,1,5,サファリボール,だいしつげんの　なか　だけで\nつかう　とくべつな　ボール。\nめいさいがらに　なっている。
15,1,6,ネットボール,みずタイプと　むしタイプの\nポケモンが　つかまえやすくなる\nちょっと　かわった　ボール。
15,1,7,ダイブボール,みずの　せかいで　くらしている\nポケモンが　つかまえやすくなる\nちょっと　かわった　ボール。
15,1,8,ネストボール,つかまえる　やせいの　ポケモンが\nよわいほど　つかまえやすくなる\nちょっと　かわった　ボール。
15,1,9,リピートボール,つかまえたことの　ある\nポケモンが　つかまえやすくなる\nちょっと　かわった　ボール。
15,1,10,タイマーボール,ターンすうが　かかれば　かかるほど\nポケモンが　つかまえやすくなる\nちょっと　かわった　ボール。
15,1,11,ゴージャスボール,つかまえた　やせいポケモンが\nとても　なつきやすくなる\nいごこちの　いい　ボール。
15,1,12,プレミアボール,なにかの　きねんの　しなとして\nとくべつに　つくられた\nちょっと　めずらしい　ボール。
15,1,13,ダークボール,よるや　どうくつなど　くらいところで\nポケモンが　つかまえやすくなる\nちょっと　かわった　ボール。
15,1,14,ヒールボール,つかまえた　ポケモンの　ＨＰと\nじょうたい　いじょうを　かいふくする\nちょっと　やさしい　ボール。
15,1,15,クイックボール,せんとうが　はじまって　すぐに\nつかうと　つかまえやすくなる\nちょっと　かわった　ボール。
15,1,16,プレシャスボール,なにかの　きねんの　しなとして\nとくべつに　つくられた\nかなり　めずらしい　ボール。
15,1,17,キズぐすり,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\n２０だけ　かいふくする。
15,1,18,どくけし,スプレーしきの　くすり。\nポケモン　１ひきの　どくの\nじょうたいを　かいふくする。
15,1,19,やけどなおし,スプレーしきの　くすり。\nポケモン　１ひきの　やけどの\nじょうたいを　かいふくする。
15,1,20,こおりなおし,スプレーしきの　くすり。\nポケモン　１ひきの　こおりの\nじょうたいを　かいふくする。
15,1,21,ねむけざまし,スプレーしきの　くすり。\nポケモン　１ひきの　ねむりの\nじょうたいを　かいふくする。
15,1,22,まひなおし,スプレーしきの　くすり。\nポケモン　１ひきの　まひの\nじょうたいを　かいふくする。
15,1,23,かいふくのくすり,ポケモン　１ひきの　ＨＰと\nじょうたい　いじょうを　すべて\nかいふくする。
15,1,24,まんたんのくすり,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\nすべて　かいふくする。
15,1,25,すごいキズぐすり,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\n２００だけ　かいふくする。
15,1,26,いいキズぐすり,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\n５０だけ　かいふくする。
15,1,27,なんでもなおし,スプレーしきの　くすり。\nポケモン　１ひきの　じょうたいの\nいじょうを　すべて　かいふくする。
15,1,28,げんきのかけら,ひんしに　なってしまった\nポケモン　１ひきの　ＨＰを\nはんぶんまで　かいふくする。
15,1,29,げんきのかたまり,ひんしに　なってしまった\nポケモン　１ひきの　ＨＰを\nすべて　かいふくする。
15,1,30,おいしいみず,ミネラル　たっぷりの　みず。\nポケモン　１ひきの　ＨＰを\n５０だけ　かいふくする。
15,1,31,サイコソーダ,シュワっと　はじける　ソーダ。\nポケモン　１ひきの　ＨＰを\n６０だけ　かいふくする。
15,1,32,ミックスオレ,とても　あまい　ジュース。\nポケモン　１ひきの　ＨＰを\n８０だけ　かいふくする。
15,1,33,モーモーミルク,えいよう　まんてんの　ミルク。\nポケモン　１ひきの　ＨＰを\n１００だけ　かいふくする。
15,1,34,ちからのこな,とても　にがい　こなぐすり。\nポケモン　１ひきの　ＨＰを\n５０だけ　かいふくする。
15,1,35,ちからのねっこ,とても　にがい　ねっこ。\nポケモン　１ひきの　ＨＰを\n２００だけ　かいふくする。
15,1,36,ばんのうごな,とても　にがい　こなぐすり。\nポケモン　１ひきの　じょうたいの\nいじょうを　すべて　かいふくする。
15,1,37,ふっかつそう,とても　にがい　やくそう。\nひんしの　ポケモン　１ひきの\nＨＰを　すべて　かいふくする。
15,1,38,ピーピーエイド,ポケモンが　おぼえている\nわざのうち　１つの　ＰＰを\n１０だけ　かいふくする。
15,1,39,ピーピーリカバー,ポケモンが　おぼえている\nわざのうち　１つの　ＰＰを\nすべて　かいふくする。
15,1,40,ピーピーエイダー,ポケモンが　おぼえている\n４つの　わざの　ＰＰを\n１０ずつ　かいふくする。
15,1,41,ピーピーマックス,ポケモンが　おぼえている\n４つの　わざの　ＰＰを\nすべて　かいふくする。
